Pilote,Rang,Points,ARGR,BELR,FRAR,GERR,GRER,INDR,ITAR,NETR,SWIR
Alberto Ascari,1,186,25,18,25,25,25,,25,25,18
Juan Manuel Fangio,2,146,18,25,12,18,12,,18,18,25
Nino Farina,3,102,12,12,8,15,10,,15,15,15
Luigi Villoresi,4,86,15,10,15,8,8,,10,12,8
Mike Hawthorn,5,69,8,6,6,12,15,,8,8,6
José Froilán González,6,63,10,15,10,,18,,,10,
Onofre Marimón,7,44,,8,4,4,6,,12,,10
Maurice Trintignant,8,40,6,4,0,10,4,,4,0,12
Felice Bonetto,9,31,0,,18,6,0,,6,0,1
Bill Vukovich,10,25,,,,,,25,,,
Fred Agabashian,11,18,,,,,,18,,,
Emmanuel de Graffenried,12,16,,2,2,0,0,,2,6,4
Jack McGrath,13,15,,,,,,15,,,
Manny Ayulo,14,12,,,,,,12,,,
Andy Linden,15,10,,,,,,10,,,
Tony Bettenhausen,16,8,,,,,,8,,,
Jerry Hoyt,17,6,,,,,,6,,,
Louis Rosier,18,5,,0,1,0,0,,0,4,0
Robert Manzon,19,4,4,,,,,,,,
Johnnie Parsons,20,4,,,,,,4,,,
Harry Schell,21,4,,0,0,1,2,,0,1,
Stirling Moss,22,3,,,0,0,,,1,2,
Oscar Alfredo Gálvez,23,2,2,,,,,,,,
Jean Behra,24,2,0,0,0,2,0,,,,0
Sam Hanks,25,2,,,,,,2,,,
Ken Wharton,26,2,,,0,,0,,0,0,2
Carlos Menditéguy,27,1,1,,,,,,,,
Rodger Ward,28,1,,,,,,1,,,
Johnny Claes,29,1,,1,0,0,,,0,0,
Tony Rolt,30,1,,,,,1,,,,
Alan Brown,31,0,0,,,0,0,,0,,
Adolfo Schwelm Cruz,32,0,0,,,,,,,,
Pablo Birger,33,0,0,,,,,,,,
John Barber,34,0,0,,,,,,,,
Bob Scott,35,0,,,,,,0,,,
Art Cross,36,0,,,,,,0,,,
Gene Hartley,37,0,,,,,,0,,,
Walt Faulkner,38,0,,,,,,0,,,
Don Freeland,39,0,,,,,,0,,,
Chuck Stevenson,40,0,,,,,,0,,,
Paul Russo,41,0,,,,,,0,,,
Spider Webb,42,0,,,,,,0,,,
Carl Scarborough,43,0,,,,,,0,,,
Ernie McCoy,44,0,,,,,,0,,,
Jimmy Daywalt,45,0,,,,,,0,,,
Marshall Teague,46,0,,,,,,0,,,
Mike Nazaruk,47,0,,,,,,0,,,
Pat Flaherty,48,0,,,,,,0,,,
Jim Rathmann,49,0,,,,,,0,,,
Duke Nalon,50,0,,,,,,0,,,
Duane Carter,51,0,,,,,,0,,,
Bill Holland,52,0,,,,,,0,,,
Bob Sweikert,53,0,,,,,,0,,,
Cal Niday,54,0,,,,,,0,,,
Jimmy Bryan,55,0,,,,,,0,,,
Jimmy Davies,56,0,,,,,,0,,,
Johnny Thomson,57,0,,,,,,0,,,
Roy Salvadori,58,0,,,0,0,0,,0,0,
Kenneth McAlpine,59,0,,,,0,0,,0,0,
Lance Macklin,60,0,,0,0,,0,,0,0,0
Peter Collins,61,0,,0,0,,0,,,0,
Roberto Mieres,62,0,,,0,,,,0,0,
Fred Wacker,63,0,,0,,,,,,0,
Paul Frère,64,0,,0,,,,,,,0
André Pilette,65,0,,0,,,,,,,
Arthur Legat,66,0,,0,,,,,,,
Georges Berger,67,0,,0,,,,,,,
Jacques Swaters,68,0,,0,,0,,,,,0
Charles de Tornaco,69,0,,0,,,,,,,
Birabongse Bhanudej,70,0,,,0,0,0,,0,,
Bob Gerard,71,0,,,0,,0,,,,
Élie Bayol,72,0,,,0,,,,0,,
Yves Giraud-Cabantous,73,0,,,0,,,,0,,
Louis Chiron,74,0,,,0,,0,,0,,
Peter Whitehead,75,0,,,,,0,,,,
Jimmy Stewart,76,0,,,,,0,,,,
Duncan Hamilton,77,0,,,,,0,,,,
Ian Stewart,78,0,,,,,0,,,,
Tony Crook,79,0,,,,,0,,,,
Jack Fairman,80,0,,,,,0,,0,,
Hans Herrmann,81,0,,,,0,,,,,
Willi Heeks,82,0,,,,0,,,,,
Rodney Nuckey,83,0,,,,0,,,,,
Theo Fitzau,84,0,,,,0,,,,,
Hans Stuck,85,0,,,,0,,,0,,
Edgar Barth,86,0,,,,0,,,,,
Rudolf Krause,87,0,,,,0,,,,,
Kurt Adolff,88,0,,,,0,,,,,
Theo Helfrich,89,0,,,,0,,,,,
Wolfgang Seidel,90,0,,,,0,,,,,
Karl-Günther Bechem,91,0,,,,0,,,,,
Ernst Loof,92,0,,,,0,,,,,
Ernst Klodwig,93,0,,,,0,,,,,
Erwin Bauer,94,0,,,,0,,,,,
Oswald Karch,95,0,,,,0,,,,,
Helm Glöckler,96,0,,,,0,,,,,
Hermann Lang,97,0,,,,,,,,,0
Peter Hirt,98,0,,,,,,,,,0
Albert Scherrer,99,0,,,,,,,,,0
Max de Terra,100,0,,,,,,,,,0
Chico Landi,101,0,,,,,,,0,,0
Umberto Maglioli,102,0,,,,,,,0,,
Sergio Mantovani,103,0,,,,,,,0,,
Piero Carini,104,0,,,,,,,0,,
John Fitch,105,0,,,,,,,0,,
