Pilote,Rang,Points,FRAR,GERR,GRER,INDR,ITAR,MONR,NETR,PORR,UNIR
Stirling Moss,1,148,12,15,6,,25,25,15,25,25
Jack Brabham,2,137,18,10,25,,15,15,18,18,18
Tony Brooks,3,90,25,18,0,,18,12,4,1,12
Jo Bonnier,4,54,8,4,1,,0,6,25,10,
Harry Schell,5,52,2,2,15,,6,2,8,2,15
Phil Hill,6,51,15,6,,,10,10,0,6,4
Maurice Trintignant,7,46,4,0,12,,0,8,0,12,10
Masten Gregory,8,45,6,8,10,,,0,6,15,
Jean Behra,9,40,10,,,,,18,12,,
Cliff Allison,10,35,,25,,,4,0,0,,6
Dan Gurney,11,32,0,12,,,12,,,8,
Johnny Thomson,12,25,,,,25,,,,,
Roy Salvadori,13,22,0,,18,,0,4,0,0,0
Eddie Sachs,14,18,,,,18,,,,,
Jim Rathmann,15,15,,,,15,,,,,
Bruce McLaren,16,13,1,1,4,,2,0,,4,1
Graham Hill,17,13,0,0,2,,1,0,10,0,
Dick Rathmann,18,12,,,,12,,,,,
Bobby Grim,19,10,,,,10,,,,,
Carroll Shelby,20,9,,,8,,0,,1,0,
Wolfgang von Trips,21,8,,,,,,0,,,8
Rodger Ward,22,8,,,,8,,,,,0
Olivier Gendebien,23,8,0,,,,8,,,,
Bob Veith,24,6,,,,6,,,,,
Eddie Johnson,25,4,,,,4,,,,,
Innes Ireland,26,4,0,0,,,0,,2,0,2
Gene Hartley,27,2,,,,2,,,,,
Ron Flockhart,28,1,0,,0,,0,1,,0,
Don Branson,29,1,,,,1,,,,,
Bruce Halford,30,0,,,,,,0,,,
Ivor Bueb,31,0,,,0,,,0,,,
Giorgio Scarlatti,32,0,0,,,,0,0,,,
Lucien Bianchi,33,0,,,,,,0,,,
Alain de Changy,34,0,,,,,,0,,,
Maria Teresa de Filippis,35,0,,,,,,0,,,
Pete Lovely,36,0,,,,,,0,,,
Jean Lucienbonnet,37,0,,,,,,0,,,
André Testut,38,0,,,,,,0,,,
Johnny Boyd,39,0,,,,0,,,,,
Duane Carter,40,0,,,,0,,,,,
Jimmy Daywalt,41,0,,,,0,,,,,
Jack Turner,42,0,,,,0,,,,,
Tony Bettenhausen,43,0,,,,0,,,,,
Paul Goldsmith,44,0,,,,0,,,,,
Anthony Joseph Foyt,45,0,,,,0,,,,,
Pat Flaherty,46,0,,,,0,,,,,
Jud Larson,47,0,,,,0,,,,,
Jimmy Bryan,48,0,,,,0,,,,,
Chuck Arnold,49,0,,,,0,,,,,
Len Sutton,50,0,,,,0,,,,,
Al Herman,51,0,,,,0,,,,,
Bob Christie,52,0,,,,0,,,,,
Don Freeland,53,0,,,,0,,,,,
Red Amick,54,0,,,,0,,,,,
Paul Russo,55,0,,,,0,,,,,
Al Keller,56,0,,,,0,,,,,
Chuck Weyant,57,0,,,,0,,,,,
Bill Cheesbourg,58,0,,,,0,,,,,
Mike Magill,59,0,,,,0,,,,,
Ray Crawford,60,0,,,,0,,,,,
Jim McWithey,61,0,,,,0,,,,,
Carel Godin de Beaufort,62,0,0,,,,,,0,,
Colin Davis,63,0,0,,,,0,,,,
Fritz d'Orey,64,0,0,,0,,,,,,0
Ian Burgess,65,0,0,0,0,,0,,,,
Alan Stacey,66,0,,,0,,,,,,0
Brian Naylor,67,0,,,0,,,,,,
Jack Fairman,68,0,,,0,,0,,,,
Chris Bristow,69,0,,,0,,,,,,
Hans Herrmann,70,0,,0,0,,,,,,
Henry Taylor,71,0,,,0,,,,,,
David Piper,72,0,,,0,,,,,,
Peter Ashdown,73,0,,,0,,,,,,
Mike Taylor,74,0,,,0,,,,,,
Bill Moss,75,0,,,0,,,,,,
Mike Parkes,76,0,,,0,,,,,,
Trevor Taylor,77,0,,,0,,,,,,
Keith Greene,78,0,,,0,,,,,,
Tim Parnell,79,0,,,0,,,,,,
Dennis Taylor,80,0,,,0,,,,,,
Mário de Araújo Cabral,81,0,,,,,,,,0,
Giulio Cabianca,82,0,,,,,0,,,,
Bob Said,83,0,,,,,,,,,0
Alejandro de Tomaso,84,0,,,,,,,,,0
George Constantine,85,0,,,,,,,,,0
Harry Blanchard,86,0,,,,,,,,,0
Phil Cade,87,0,,,,,,,,,0
