Équipe,Rang,Points,ARG,BEL,FRA,GRE,IND,ITA,MON,NET,POR,UNI
Cooper,1,65,9,9,9,6,,4,9,4,9,6
Lotus,2,50,4,4,6,9,,,3,9,6,9
Ferrari,3,45,6,6,4,4,,9,6,6,4,
BRM,4,16,2,,,3,,,4,3,,4
Watson,5,9,,,,,9,,,,,
Trevis,6,6,,,,,6,,,,,
Porsche,7,6,,,,,,6,,,,
Maserati,8,5,3,,,,,,,,,2
Behra-Porsche,9,4,1,,,,,3,,,,
Epperly,10,4,,,,,4,,,,,
Kuzma,11,3,,,,,3,,,,,
Scarab,12,3,,,,,,,,,,3
Kurtis Kraft,13,2,,,,,2,,,,,
Aston Martin,14,2,,,,2,,,,,,
Meskowski,15,1,,,,,1,,,,,
JBW,16,1,,,,1,,,,,,
Ewing,17,0,,,,,0,,,,,
Phillips,18,0,,,,,0,,,,,
Lesovsky,19,0,,,,,0,,,,,
Christensen,20,0,,,,,0,,,,,
