Pilote,Rang,Points,AUSR,BELR,FRAR,GERR,GRER,ITAR,MEXR,MONR,NETR,UNIR
Jim Clark,1,196,15,8,25,18,25,12,25,25,18,25
Dan Gurney,2,171,12,25,18,15,15,18,18,10,25,15
John Surtees,3,157,18,10,15,25,10,25,12,12,12,18
Graham Hill,4,144,25,18,8,10,18,15,8,15,15,12
Jack Brabham,5,89,8,15,10,8,12,0,6,18,6,6
Lorenzo Bandini,6,60,6,2,4,12,4,6,15,6,1,4
Bruce McLaren,7,60,2,6,6,6,8,10,1,1,10,10
Peter Arundell,8,40,,12,12,,,,,8,8,
Richie Ginther,9,26,10,4,2,0,0,2,0,4,4,0
Mike Spence,10,26,4,,,0,0,4,10,,,8
Phil Hill,11,9,0,0,1,4,0,,0,2,2,0
Jo Bonnier,12,9,1,0,,0,2,0,4,0,0,2
Jo Siffert,13,9,0,0,0,1,0,8,0,0,0,0
Bob Anderson,14,6,0,0,0,0,6,0,,0,0,
Innes Ireland,15,2,0,0,0,,1,0,0,0,,1
Chris Amon,16,2,0,0,0,2,0,,0,0,0,0
Pedro Rodríguez,17,2,,,,,,,2,,,
Peter Revson,18,1,,1,0,0,0,0,,0,,
Ronnie Bucknum,19,1,,,,0,,1,,,,0
Maurice Trintignant,20,0,,,0,0,0,0,,0,,
Trevor Taylor,21,0,0,0,0,,0,0,0,0,,0
Mike Hailwood,22,0,0,,0,0,0,0,0,0,0,0
Bernard Collomb,23,0,,,,,,,,0,,
Tony Maggs,24,0,0,0,,0,0,,,,0,
Giancarlo Baghetti,25,0,0,0,,0,0,0,,,0,
Carel Godin de Beaufort,26,0,,,,0,,,,,0,
André Pilette,27,0,,0,,0,,,,,,
Ian Raby,28,0,,,,,0,0,,,,
Frank Gardner,29,0,,,,,0,,,,,
John Taylor,30,0,,,,,0,,,,,
Richard Attwood,31,0,,,,,0,,,,,
Gerhard Mitter,32,0,,,,0,,,,,,
Edgar Barth,33,0,,,,0,,,,,,
Jochen Rindt,34,0,0,,,,,,,,,
Ludovico Scarfiotti,35,0,,,,,,0,,,,
Mário de Araújo Cabral,36,0,,,,,,0,,,,
Jean-Claude Rudaz,37,0,,,,,,0,,,,
Giacomo Russo,38,0,,,,,,0,,,,
John Love,39,0,,,,,,0,,,,
Walt Hansgen,40,0,,,,,,,,,,0
Hap Sharp,41,0,,,,,,,0,,,0
Moisés Solana,42,0,,,,,,,0,,,
