Pilote,Rang,Points,AUSR,BELR,CANR,FRAR,GERR,GRER,ITAR,MEXR,MONR,NETR,SOUR,SPAR,UNIR
Jacky Ickx,1,216,15,12,18,25,25,15,25,15,10,15,10,6,25
Jackie Stewart,2,215,12,25,25,12,6,4,12,18,25,18,25,15,18
Jochen Rindt,3,139,25,18,,8,18,25,0,,4,25,12,4,
Chris Amon,4,130,8,15,8,15,8,0,0,10,18,12,18,8,10
Clay Regazzoni,5,112,18,,15,,15,8,15,25,,8,,,8
Jack Brabham,6,110,4,10,0,10,0,18,4,12,12,0,15,25,0
Pedro Rodríguez,7,71,0,8,6,1,4,0,18,6,0,6,0,10,12
Denny Hulme,8,59,0,,0,6,0,10,2,0,15,,8,18,0
Jean-Pierre Beltoise,9,57,6,0,0,18,0,0,0,8,8,1,4,12,0
Jackie Oliver,10,38,0,0,1,0,0,12,8,0,0,10,0,1,6
Henri Pescarolo,11,26,0,0,4,4,10,0,0,0,6,0,0,2,0
Ignazio Giunti,12,24,10,4,,0,,,10,,,,,,
John Surtees,13,21,0,,10,,0,0,1,0,0,0,6,0,4
Jo Siffert,14,21,0,1,0,0,12,0,6,0,0,0,2,0,0
François Cevert,15,16,2,,12,0,0,0,0,2,,0,,,0
Emerson Fittipaldi,16,15,0,,,,0,0,0,0,,,,,15
John Miles,17,12,1,0,,0,1,6,0,,0,4,0,0,
Rolf Stommelen,18,7,0,6,0,0,0,1,0,0,0,0,0,0,0
Graham Hill,19,5,,0,0,0,0,0,0,4,0,0,0,0,1
Mario Andretti,20,4,0,,,,2,2,,,,,0,0,
Piers Courage,21,4,,0,,,,,,,2,2,0,0,
Ronnie Peterson,22,4,,2,0,2,0,0,0,,0,0,,,0
Bruce McLaren,23,2,,,,,,,,,1,,1,0,
George Eaton,24,2,0,,2,0,,0,0,,0,0,0,0,0
Reine Wisell,25,2,,,,,,,,0,,,,,2
Peter Gethin,26,1,0,,0,,0,,0,1,,0,,,0
Dave Charlton,27,0,,,,,,,,,,,0,,
Johnny Servoz-Gavin,28,0,,,,,,,,,0,,0,0,
Peter de Klerk,29,0,,,,,,,,,,,0,,
John Love,30,0,,,,,,,,,,,0,,
Andrea de Adamich,31,0,0,,0,0,0,0,0,,0,0,,0,0
Alex Soler-Roig,32,0,,0,,0,,,,,,,,0,
Derek Bell,33,0,,0,,,,,,,,,,,0
Dan Gurney,34,0,,,,0,,0,,,,0,,,
Pete Lovely,35,0,,,,0,,0,,,,0,,,0
Silvio Moser,36,0,0,,,0,0,,0,,,0,,,
Brian Redman,37,0,,,,,0,0,,,,,,,
Hubert Hahne,38,0,,,,,0,,,,,,,,
Tim Schenken,39,0,0,,0,,,,0,,,,,,0
Jo Bonnier,40,0,,,,,,,0,,,,,,0
Nanni Galli,41,0,,,,,,,0,,,,,,
Gus Hutchison,42,0,,,,,,,,,,,,,0
Peter Westbury,43,0,,,,,,,,,,,,,0
