Équipe,Rang,Points,ARG,AUS,BEL,BRA,CAN,FRA,GER,GRE,ITA,MON,NET,SOU,SPA,SWE,UNI
Tyrrell,1,93,9,3,9,3,9,9,9,6,6,6,9,4,2,9,
McLaren,2,66,6,0,1,1,4,0,4,9,2,4,2,9,9,6,9
Lotus,3,54,3,4,4,2,0,2,0,2,9,9,0,6,3,4,6
BRM,4,46,1,9,6,6,0,4,,3,0,,6,,4,3,4
Brabham,5,29,2,2,3,0,6,3,3,1,3,3,,1,0,2,0
Ferrari,6,24,4,1,,9,0,6,,0,0,,,3,0,1,0
March,7,19,0,,0,,0,1,1,4,0,1,3,,6,0,3
Surtees,8,17,,6,0,0,1,0,6,,1,2,1,0,,0,
Iso-Marlboro,9,13,,0,,4,3,0,0,0,,,4,0,0,0,2
Shadow,10,12,,,0,,2,0,2,,4,0,0,2,1,0,1
Tecno,11,2,,,2,,,,,,,,,,,,
Ensign,12,0,,,,,,0,,0,,,,,,,
