Équipe,Rang,Points,ARG,BRA,SOU,SPA,MON,BEL,SWE,NET,FRA,GRE,GER,AUS,ITA,UNI
Ferrari,1,75,9,6,2,,2,6,9,9,3,3,4,9,9,4
McLaren,2,65,3,9,3,6,9,2,0,,9,6,,6,3,9
Tyrrell,3,58,6,,9,,6,9,4,3,6,4,0,4,6,1
Brabham,4,40,1,4,6,3,3,4,2,6,0,0,9,0,2,
March,5,25,0,,,9,,,,0,0,9,0,1,,6
Hesketh,6,23,2,1,,,,,6,2,2,0,0,3,4,3
Lotus,7,19,0,2,4,4,4,,3,0,0,0,,0,0,2
Hill,8,14,,,,,,,0,4,4,2,2,2,,
Shadow,9,10,0,,0,2,,3,,1,0,0,3,0,1,
Lola,10,8,4,3,1,,,,,,,,,,,
Frank Williams Racing Cars,11,7,,0,,1,,,0,0,0,,6,,0,
Parnelli,12,2,,0,0,,,,1,,1,0,0,,,
Surtees,13,1,,0,,0,,0,0,,0,1,,0,,
BRM,14,1,,,0,,,1,0,,0,,,,,
Ensign,15,1,,,,,,,,0,0,,1,0,0,
Penske,16,0,0,,0,,,0,0,0,,,,,,0
Fittipaldi,17,0,,0,,,,0,0,0,,0,,,0,0
Lyncar,18,0,,,,,,,,,,0,,,,
