Pilote,Rang,Points,AUSR,BELR,BRAR,CANR,FRAR,GERR,GRER,ITAR,JAPR,MONR,NETR,SOUR,SPAR,SWER,UNIR
James Hunt,1,288,25,15,25,25,25,25,18,0,18,0,18,25,25,4,25
Niki Lauda,2,230,,25,18,8,18,18,25,10,15,25,,18,18,10,10
Patrick Depailler,3,149,0,12,2,12,15,15,10,12,0,12,0,8,15,12,6
Clay Regazzoni,4,137,,18,12,0,12,10,12,2,6,18,10,2,10,0,0
Ronnie Peterson,5,120,15,1,0,18,8,0,6,4,2,15,25,1,0,2,15
Jody Scheckter,6,108,1,6,0,6,2,4,4,18,10,10,4,0,0,25,18
Mario Andretti,7,86,2,0,0,10,6,0,15,0,25,,8,0,2,18,0
Vittorio Brambilla,8,84,6,10,6,15,0,0,1,0,4,2,6,10,8,0,12
Jacques Laffite,9,72,10,8,0,2,0,8,0,25,0,4,1,4,4,6,0
John Watson,10,71,18,0,4,0,4,0,0,0,12,0,12,15,0,0,4
Carlos Pace,11,51,4,2,1,1,10,6,0,15,8,0,2,0,0,1,1
Tom Pryce,12,41,8,0,0,0,0,0,0,0,0,0,15,6,0,0,2
Hans-Joachim Stuck,13,40,0,0,0,4,0,12,0,8,0,8,0,0,0,0,8
Jochen Mass,14,34,0,0,8,0,0,2,0,0,0,0,0,12,12,0,0
Chris Amon,15,28,,4,,0,,0,8,,,0,,0,1,15,0
Gunnar Nilsson,16,26,12,0,,0,0,0,0,0,0,0,0,0,6,8,0
Jean-Pierre Jarier,17,22,0,0,15,0,0,0,0,0,0,1,0,0,0,0,0
Emerson Fittipaldi,18,16,0,0,10,0,0,0,0,0,0,6,0,0,0,0,0
Carlos Reutemann,19,9,0,0,0,,1,1,0,6,,0,0,0,0,0,1
Arturo Merzario,20,2,0,0,,0,0,0,2,0,0,0,0,,0,0,0
Jacky Ickx,21,1,,0,0,0,0,,0,1,,0,0,0,0,,0
Masahiro Hasemi,22,1,,,,,,,,,1,,,,,,
Renzo Zorzi,23,0,,,0,,,,,,,,,,,,
Ingo Hoffmann,24,0,,,0,,0,,,,,,,,0,,0
Ian Ashley,25,0,,,0,,,,,,,,,,,,
Lella Lombardi,26,0,0,,0,,,0,0,,,,,,,,
Ian Scheckter,27,0,,,,,,,,,,,,0,,,
Brett Lunger,28,0,0,0,,0,0,0,0,0,,,,0,0,0,0
Michel Leclère,29,0,,0,,,0,,,,,0,,0,0,0,0
Bob Evans,30,0,,,,,,,0,,,,,0,,,0
Harald Ertl,31,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
Alan Jones,32,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0
Larry Perkins,33,0,,0,,0,,,,0,0,0,0,,0,0,0
Loris Kessel,34,0,0,0,,,0,,,,,,,,0,0,
Emilio Zapico,35,0,,,,,,,,,,,,,0,,
Emilio de Villota,36,0,,,,,,,,,,,,,0,,
Patrick Nève,37,0,,0,,,0,,,,,,,,,,
Guy Edwards,38,0,,0,,0,0,0,0,0,,,,,,,
Henri Pescarolo,39,0,0,,,0,0,0,0,0,,0,0,,,,0
Jac Nellemann,40,0,,,,,,,,,,,,,,0,
Damien Magee,41,0,,,,,0,,,,,,,,,,
Divina Galica,42,0,,,,,,,0,,,,,,,,
Mike Wilds,43,0,,,,,,,0,,,,,,,,
Rolf Stommelen,44,0,,,,,,0,,0,,,0,,,,
Alessandro Pesenti-Rossi,45,0,0,,,,,0,,0,,,0,,,,
Hans Binder,46,0,0,,,,,,,,0,,,,,,
Boy Hayje,47,0,,,,,,,,,,,0,,,,
Conny Andersson,48,0,,,,,,,,,,,0,,,,
Otto Stuppacher,49,0,,,,0,,,,0,,,,,,,0
Alex Ribeiro,50,0,,,,,,,,,,,,,,,0
Warwick Brown,51,0,,,,,,,,,,,,,,,0
Kazuyoshi Hoshino,52,0,,,,,,,,,0,,,,,,
Noritake Takahara,53,0,,,,,,,,,0,,,,,,
Masami Kuwashima,54,0,,,,,,,,,0,,,,,,
Tony Trimmer,55,0,,,,,,,,,0,,,,,,
