Équipe,Rang,Points,ARG,BRA,SOU,UNI,MON,BEL,SPA,SWE,FRA,GRE,GER,AUS,NET,ITA,CAN
Lotus,1,86,9,3,6,0,0,9,9,3,9,,9,9,9,2,0
Ferrari,2,59,4,6,,3,1,6,0,6,2,4,0,4,4,6,9
McLaren,3,51,6,,0,9,2,4,1,9,6,6,,0,3,4,1
Brabham,4,50,0,9,4,,9,,2,0,1,9,1,0,6,9,0
Tyrrell,5,40,2,1,9,0,6,2,0,,0,3,2,6,,0,6
Wolf,6,23,0,,,6,4,,3,,0,,6,,0,0,4
Ligier,7,21,0,0,2,0,,3,4,0,0,0,4,2,1,3,
Arrows,8,18,,0,0,0,3,,0,2,4,,0,,,,3
Fittipaldi,9,13,0,4,,0,0,,,0,,,3,3,2,1,
Shadow,10,9,1,2,,0,,,0,4,0,2,,,,,
ATS,11,8,3,0,1,0,,0,0,1,3,,,,,,
Surtees,12,8,0,,0,0,,0,6,,0,1,,1,,,
Williams,13,6,,0,3,2,,0,0,,0,,,,,0,0
Ensign,14,6,,,,4,,0,,,,,0,,,0,2
Renault,15,1,,,,1,0,,0,,,,,,,,0
Martini,16,1,,,,,,1,,,0,,,0,,,
