Pilote,Rang,Points,ARGR,AUSR,BELR,BRAR,CANR,FRAR,GERR,GRER,ITAR,MONR,NETR,SOUR,SPAR,SWER,UNIR
Mario Andretti,1,313,25,18,25,15,2,18,25,18,25,12,25,18,25,25,37
Ronnie Peterson,2,196,15,25,6,25,,10,18,25,10,6,18,0,18,12,8
Niki Lauda,3,189,10,0,15,1,6,15,15,12,12,15,15,25,8,15,25
Carlos Reutemann,4,169,18,12,18,12,0,4,0,4,0,25,12,2,15,4,43
John Watson,5,133,12,1,2,0,12,25,10,2,6,18,4,1,6,18,16
Gilles Villeneuve,6,125,6,0,12,8,15,2,0,0,18,4,10,4,10,6,30
James Hunt,7,110,8,4,8,18,0,12,4,0,1,8,6,15,12,0,14
Jody Scheckter,8,92,0,6,10,0,18,6,12,15,2,2,0,10,2,8,1
Alan Jones,9,60,0,0,0,4,10,0,8,8,8,1,0,0,0,2,19
Jean-Pierre Jabouille,10,46,,15,1,,0,0,2,0,15,0,2,8,0,1,2
Jacques Laffite,11,42,4,10,0,0,1,1,6,6,4,0,8,0,1,0,1
Riccardo Patrese,12,36,,0,4,0,0,0,0,10,0,0,0,6,4,10,2
Patrick Tambay,13,32,2,0,,10,0,8,0,0,0,0,0,12,0,0,0
Jean-Pierre Jarier,14,29,0,,,0,25,,0,,,0,,0,,,4
Emerson Fittipaldi,15,24,0,8,0,6,8,0,1,0,0,0,1,0,0,0,0
Patrick Depailler,16,12,1,0,0,0,0,0,0,1,0,10,0,0,0,0,0
Hans-Joachim Stuck,17,6,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0
Didier Pironi,18,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Vittorio Brambilla,19,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
Jochen Mass,20,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0
Clay Regazzoni,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rupert Keegan,22,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0
Arturo Merzario,23,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0
Danny Ongais,24,0,0,,,0,,,,,,,,,,,
Lamberto Leoni,25,0,0,,,0,,,,,,,,0,,,0
Brett Lunger,26,0,0,0,0,0,,0,,0,0,,0,0,0,0,0
Héctor Rebaque,27,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0
Eddie Cheever,28,0,0,,,0,,,,,,,,0,,,
Divina Galica,29,0,0,,,0,,,,,,,,,,,
Rolf Stommelen,30,0,,,0,,0,0,0,0,,0,,0,0,0,0
Keke Rosberg,31,0,,0,0,,0,0,0,0,,,0,0,,0,0
René Arnoux,32,0,,0,0,,0,0,,,,,0,0,,,0
Jacky Ickx,33,0,,,0,,,,,,,0,,,0,0,
Bruno Giacomelli,34,0,,,0,,,0,,0,0,,0,,,,
Derek Daly,35,0,,0,0,,0,0,,0,0,,0,,,,0
Alberto Colombo,36,0,,,0,,,,,,,,,,0,,
Emilio de Villota,37,0,,,,,,,,,,,,,0,,
Geoff Lees,38,0,,,,,,,,0,,,,,,,
Tony Trimmer,39,0,,,,,,,,0,,,,,,,
Nelson Piquet,40,0,,0,,,0,,0,,0,,0,,,,
Harald Ertl,41,0,,0,,,,,0,,0,,,,,,
Hans Binder,42,0,,0,,,,,,,,,,,,,
Michael Bleekemolen,43,0,,,,,0,,,,0,,0,,,,0
Carlo Franchi,44,0,,,,,,,,,0,,,,,,
Bobby Rahal,45,0,,,,,0,,,,,,,,,,0
Beppe Gabbiani,46,0,,,,,0,,,,,,,,,,0
