Équipe,Rang,Points,ARG,BRA,SOU,UNI,SPA,BEL,MON,FRA,GRE,GER,AUS,NET,ITA,CAN
Ferrari,1,95,0,6,9,9,4,9,9,4,2,6,9,4,9,6
Williams,2,57,4,0,0,6,,,6,6,1,9,6,6,4,9
Lotus,3,49,6,2,6,4,9,3,4,2,6,,,1,6,0
Ligier,4,42,9,9,,3,2,4,2,0,0,2,2,9,,
Tyrrell,5,40,,1,2,4,6,6,,0,4,4,4,,3,4
McLaren,6,27,3,0,0,1,0,1,3,3,9,1,3,,,3
Renault,7,17,,0,,6,1,,0,9,0,,1,,0,
Arrows,8,16,0,4,3,0,3,2,1,1,,0,,2,0,
Shadow,9,14,1,3,,3,0,0,,0,3,3,,,,0
Brabham,10,11,,,4,0,,,0,,,0,,3,2,2
Fittipaldi,11,4,2,0,0,0,0,0,,,,,,,1,1
ATS,12,2,,,,2,0,0,,,,,,,0,
Wolf,13,1,,,1,,,,,0,,,,,,
Ensign,14,0,0,0,,,,,,,0,,,,,
Alfa Romeo,15,0,,,,,,,,0,,,,,0,
