Équipe,Rang,Points,ARG,BRA,SOU,UNI,BEL,MON,FRA,GRE,GER,AUS,NET,ITA,CAN
Williams,1,88,6,0,3,9,9,4,6,9,9,9,6,9,9
Ligier,2,46,,0,9,6,3,3,9,,1,1,2,6,6
Arrows,3,41,,9,2,9,,9,4,2,6,0,,,0
Brabham,4,40,9,0,6,4,,2,1,4,0,4,4,4,2
Ferrari,5,31,,0,,0,6,1,3,1,4,3,9,0,3
Renault,6,26,,2,4,3,2,,0,,,6,3,0,
Tyrrell,7,25,3,4,1,0,4,,2,6,3,,1,0,1
McLaren,8,17,1,6,0,2,,,0,3,0,0,0,1,4
Fittipaldi,9,16,4,3,0,1,1,0,0,0,,2,,2,0
Lotus,10,16,,1,0,4,0,6,,,2,0,0,3,0
Alfa Romeo,11,2,2,0,,,,,,,0,,,,
ATS,12,2,,0,,2,0,,,,0,0,0,,
Ensign,13,0,,,0,,,,,,0,,,,0
Shadow,14,0,,,0,,,,,,,,,,
Osella,15,0,,,,,,,,,,,,0,
