Pilote,Rang,Points,ARGR,AUSR,BELR,BRAR,CAER,CANR,FRAR,GERR,GRER,ITAR,MONR,NETR,SANR,SPAR,UNIR
Carlos Reutemann,1,219,12,10,25,18,25,18,6,15,2,18,12,10,18,15,15
Nelson Piquet,2,218,25,6,18,25,12,25,12,8,15,8,25,15,10,2,12
Alain Prost,3,190,18,18,0,10,10,12,15,25,18,15,2,25,12,10,0
René Arnoux,4,169,10,25,0,4,0,4,25,18,25,25,0,18,15,0,0
Alan Jones,5,167,15,8,8,15,18,15,2,12,6,10,6,12,4,18,18
Gilles Villeneuve,6,117,6,15,6,6,15,0,0,4,4,2,18,0,25,6,10
Jacques Laffite,7,79,0,12,2,0,0,1,8,6,0,12,4,8,1,25,0
John Watson,8,79,0,0,10,0,8,2,18,2,10,6,1,4,6,12,0
Riccardo Patrese,9,66,2,1,12,12,0,0,0,0,1,0,10,1,2,0,25
Didier Pironi,10,53,0,4,15,0,0,0,0,10,12,4,0,0,8,0,0
Nigel Mansell,11,34,0,0,1,0,2,10,0,0,0,0,15,0,,0,6
Elio de Angelis,12,25,1,2,0,1,0,6,4,0,0,0,8,2,,1,0
Bruno Giacomelli,13,23,0,0,0,8,4,0,0,0,0,1,0,0,0,8,2
Mario Andretti,14,22,0,0,0,2,1,0,1,0,0,0,0,6,0,4,8
Andrea de Cesaris,15,19,0,0,0,0,0,0,10,1,8,0,0,0,0,0,0
Héctor Rebaque,16,16,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0
Eddie Cheever,17,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4
Patrick Tambay,18,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
Keke Rosberg,19,4,4,,0,0,0,0,0,0,0,0,0,0,0,0,0
Jean-Pierre Jarier,20,1,,0,,0,0,0,,0,0,0,,0,,,1
Chico Serra,21,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Marc Surer,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Jan Lammers,23,0,0,,,0,,,,,,,,,0,,0
Beppe Gabbiani,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Cogan,25,0,,,,,,,,,,,,,,,0
Derek Daly,26,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
Miguel Ángel Guerra,27,0,0,,,0,,,,,,,,,0,,0
Siegfried Stohr,28,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0
Eliseo Salazar,29,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
Ricardo Zunino,30,0,0,,,0,,,,,,,,,,,
Jean-Pierre Jabouille,31,0,0,,0,0,,,,,,,0,,0,0,
Michele Alboreto,32,0,,0,0,,0,0,0,0,0,0,0,0,0,0,
Slim Borgudd,33,0,,0,0,,0,0,0,0,0,0,,0,0,0,
Derek Warwick,34,0,,0,0,,0,0,0,0,0,0,,0,0,0,
Brian Henton,35,0,,0,0,,0,0,0,0,0,0,,0,0,0,
Piercarlo Ghinzani,36,0,,,0,,,,,,,,0,,,,
Giorgio Francia,37,0,,,,,,,,,,,,,,0,
"Jacques Villeneuve, Sr.",38,0,,,,,0,0,,,,,,,,,
