Équipe,Rang,Points,AUS,BEL,BRA,CAN,DET,EUR,FRA,GER,GRE,ITA,MON,NET,SAN,SOU,UNI
Ferrari,1,70,3,2,6,9,,0,4,3,9,9,3,9,9,,4
Williams,2,56,0,6,2,4,9,0,6,6,3,0,9,,6,2,3
Renault,3,48,9,9,1,6,0,4,9,1,0,1,4,,3,1,0
Arrows,4,43,0,0,9,2,6,0,0,9,1,0,0,4,4,6,2
Brabham,5,39,2,1,4,,2,6,3,4,0,2,6,0,,9,0
McLaren,6,33,6,,3,3,3,,,0,4,,,3,2,0,9
Toleman,7,28,,4,0,,0,9,0,,,6,,6,,3,
Tyrrell,8,21,,3,0,1,4,,2,0,2,,2,1,,0,6
Alfa Romeo,9,17,,,,0,0,2,0,2,6,,1,2,0,4,
Lotus,10,9,1,0,0,,1,3,,,0,4,,,0,,0
Theodore,11,4,,0,0,,,0,0,0,0,3,,0,,,1
Osella,12,4,4,,,,,,,,,,,0,,,
Ligier,13,2,0,0,,,0,0,1,0,0,0,,0,1,0,0
ATS,14,1,,,0,0,,1,,,,,,,0,,
RAM,15,0,,,0,,,,,,,,,,,0,
Spirit,16,0,0,,,,,0,,,,,,0,,,
