Équipe,Rang,Points,UNI,BRA,SAN,MON,CAN,MEX,FRA,GRE,GER,HUN,BEL,ITA,POR,SPA,JAP,AUS
McLaren,1,81,2,9,2,9,9,0,9,4,9,2,9,9,6,,,2
Benetton,2,63,4,3,9,,3,6,1,1,4,1,6,4,4,4,9,4
Ferrari,3,62,,6,1,,6,9,0,3,3,0,1,6,9,9,,9
Williams,4,56,6,1,3,4,,4,0,2,6,9,,1,2,6,6,6
Ligier,5,30,,2,4,,,1,3,6,0,3,0,2,0,2,4,3
Lola,6,27,0,,0,2,4,,6,9,,0,0,,0,3,3,
Lotus,7,25,,,6,,2,3,4,,1,6,3,,,,,
Tyrrell,8,23,9,4,0,6,0,0,,0,0,,0,0,1,,2,1
Arrows,9,18,3,,,3,0,0,0,0,0,4,2,3,3,0,0,
Leyton House,10,7,0,,,,0,,0,,2,0,4,,0,1,,
Brabham,11,4,1,,,,1,0,2,0,,,0,,,,,0
Minardi,12,3,0,0,0,,,2,,0,,0,0,,0,,1,0
Onyx,13,1,,,0,1,,0,,,,,,,,,,
EuroBrun,14,0,0,,,,,,,,,,,,,,,
Dallara,15,0,,0,,,,0,,0,,0,,0,0,,,
Osella,16,0,,,,,0,0,,,,,0,,,,,0
AGS,17,0,,,,,,,0,,,0,,,,0,,
