Pilote,Rang,Points,AUSR,BELR,BRAR,CANR,FRAR,GERR,GRER,HUNR,ITAR,JAPR,MEXR,MONR,PORR,SANR,SOUR,SPAR
Nigel Mansell,1,383,25,25,25,15,25,25,25,18,25,25,25,25,25,25,25,25
Riccardo Patrese,2,268,15,12,18,18,18,18,18,25,12,18,18,18,18,18,12,12
Ayrton Senna,3,255,18,18,15,25,15,15,15,15,18,15,8,15,15,15,18,15
Gerhard Berger,4,175,12,8,12,12,12,12,10,10,10,12,10,10,12,12,15,6
Michael Schumacher,5,174,10,15,10,10,10,8,12,12,8,10,15,8,10,10,8,18
Jean Alesi,6,103,8,10,8,4,8,10,4,2,15,0,1,12,1,6,10,4
Martin Brundle,7,90,4,2,6,6,6,2,8,8,2,0,12,6,8,8,4,8
Ivan Capelli,8,33,,0,0,2,4,0,0,1,6,,0,4,0,4,2,10
Johnny Herbert,9,27,0,1,0,8,0,0,6,0,0,8,0,2,2,0,0,0
Thierry Boutsen,10,23,0,6,1,0,2,4,0,4,4,1,0,0,0,1,0,0
Mika Häkkinen,11,20,1,4,0,1,0,0,2,0,0,6,0,0,6,0,0,0
Érik Comas,12,15,2,,0,0,1,6,1,0,0,4,0,0,0,0,0,1
Michele Alboreto,13,12,0,0,0,0,0,0,0,6,0,0,0,0,4,2,0,0
Karl Wendlinger,14,11,,0,2,0,0,1,0,0,0,,0,0,0,0,6,2
Andrea de Cesaris,15,10,6,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0
JJ Lehto,16,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
Pierluigi Martini,17,6,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0
Maurício Gugelmin,18,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
Bertrand Gachot,19,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Olivier Grouillard,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabriele Tarquini,21,0,,0,0,0,0,0,0,0,0,,0,0,,0,0,0
Aguri Suzuki,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukyo Katayama,23,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
Gianni Morbidelli,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian Fittipaldi,25,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0
Eric van de Poele,26,0,,0,0,0,0,0,0,0,0,,0,0,,0,0,0
Paul Belmondo,27,0,,,0,0,0,0,0,0,,,0,0,,0,0,0
Andrea Chiesa,28,0,,,0,0,0,0,0,,,,0,0,,0,0,0
Stefano Modena,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Giovanna Amati,30,0,,,0,,,,,,,,0,,,,0,
Damon Hill,31,0,,,,0,0,0,0,0,,,,0,,0,,0
Roberto Moreno,32,0,,0,,,,,,0,,,,0,,,,
Alex Zanardi,33,0,,,,,,0,0,0,,,,,,,,
Emanuele Naspetti,34,0,0,0,,,,,,,0,0,,,0,,,
Perry McCarthy,35,0,,0,,,,,,,,,,,,,,
Nicola Larini,36,0,0,,,,,,,,,0,,,,,,
Jan Lammers,37,0,0,,,,,,,,,0,,,,,,
