Pilote,Rang,Points,AUSR,BELR,BRAR,CANR,EURR,FRAR,GERR,GRER,HUNR,ITAR,JAPR,MONR,PACR,PORR,SANR,SPAR
Michael Schumacher,1,285,18,18,18,25,25,15,12,18,25,,25,25,18,,18,25
Damon Hill,2,263,15,15,12,12,18,25,15,25,18,15,18,12,15,18,12,18
Gerhard Berger,3,174,0,0,0,15,8,10,25,15,12,18,0,15,10,25,15,6
Jean Alesi,4,148,4,10,15,18,0,12,18,12,0,25,6,10,,10,,8
Mika Häkkinen,5,115,12,4,4,6,2,2,4,10,,6,4,18,12,12,4,15
Rubens Barrichello,6,87,10,25,0,8,10,6,0,8,1,0,1,0,4,4,0,10
Ayrton Senna,7,75,,,25,,,,,,,,,,25,,25,
David Coulthard,8,72,,6,,10,,,8,6,15,10,,,,15,,2
Nigel Mansell,9,70,25,,,,15,18,,,,,12,,,,,
Heinz-Harald Frentzen,10,56,1,2,10,1,12,1,2,0,4,0,15,,0,2,6,0
Eddie Irvine,11,50,8,12,0,4,1,8,1,0,6,2,8,,,0,,0
Ukyo Katayama,12,38,0,0,1,2,0,0,10,4,10,0,0,0,0,8,2,1
Martin Brundle,13,36,2,0,0,0,0,0,0,2,8,0,2,4,8,6,0,4
Johnny Herbert,14,34,6,0,0,0,6,0,0,0,0,12,10,0,0,0,0,0
JJ Lehto,15,22,0,,,0,,,,,,0,0,0,,0,10,12
Gianni Morbidelli,16,18,0,0,8,0,4,0,0,0,0,0,0,6,0,0,0,0
Jos Verstappen,17,18,,8,2,,0,4,0,1,0,1,,,1,1,,
Nicola Larini,18,14,,,,,,,,,,,,,6,,8,
Christian Fittipaldi,19,10,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0
Olivier Panis,20,10,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0
Karl Wendlinger,21,7,,,6,,,,,,,,,,0,,1,
Mark Blundell,22,7,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0
Andrea de Cesaris,23,4,,0,,0,0,0,0,0,0,4,,0,,0,0,
Pierluigi Martini,24,3,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Érik Comas,25,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Éric Bernard,26,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Michele Alboreto,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olivier Beretta,28,0,,,0,0,,0,0,0,0,,,0,0,,0,0
Pedro Lamy,29,0,,,0,,,,,,,,,0,0,,0,
Bertrand Gachot,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Brabham,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roland Ratzenberger,32,0,,,0,,,,,,,,,,0,,0,
Aguri Suzuki,33,0,,,,,,,,,,,,,0,,,
Paul Belmondo,34,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Zanardi,35,0,0,,,0,0,0,0,0,0,0,0,,,,,0
Andrea Montermini,36,0,,,,,,,,,,,,,,,,0
Jean-Marc Gounon,37,0,,0,,,,0,0,0,0,0,,,,0,,
Philippe Alliot,38,0,,0,,,,,,,0,,,,,,,
Philippe Adams,39,0,,0,,,,,,,,,,,,0,,
Yannick Dalmas,40,0,,,,,,,,,,0,,,,0,,
Hideki Noda,41,0,0,,,,0,,,,,,0,,,,,
Domenico Schiattarella,42,0,0,,,,0,,,,,,,,,,,
Franck Lagorce,43,0,0,,,,,,,,,,0,,,,,
Mika Salo,44,0,0,,,,,,,,,,0,,,,,
Taki Inoue,45,0,,,,,,,,,,,0,,,,,
Jean-Denis Délétraz,46,0,0,,,,,,,,,,,,,,,
