Équipe,Rang,Points,AUS,BAH,BEL,BRA,CAN,CHI,EUR,FRA,GER,GRE,HUN,ITA,JAP,MAL,MON,SAN,SPA,TUR,UNI
Renault,1,93,9,2,1,6,,9,6,9,9,6,2,9,9,2,1,1,6,6,
Toyota,2,69,3,9,0,1,1,2,0,6,2,3,9,4,0,9,3,6,9,2,
McLaren,3,66,4,6,3,9,3,0,3,0,0,9,0,6,0,4,6,0,4,9,
Ferrari,4,56,0,0,0,4,9,0,9,4,4,4,3,2,4,0,4,0,0,0,9
Red Bull,5,48,6,0,0,0,6,6,4,0,6,0,,0,6,6,,3,1,4,
Williams,6,41,0,1,2,,2,3,0,2,0,2,6,1,0,1,9,9,3,,
Sauber,7,40,2,4,9,2,4,4,1,0,1,1,0,3,3,0,2,4,0,0,
Jordan,8,24,0,0,6,0,0,0,0,1,0,0,1,0,2,3,0,2,2,1,6
BAR,9,19,1,,0,3,,0,2,3,3,0,4,0,0,,,,,3,
Minardi,10,13,0,3,4,0,0,1,0,,0,0,,0,1,0,0,,,0,4
