Pilote,Rang,Points,AUSR,BAHR,BELR,BRAR,CANR,CHIR,EURR,FRAR,GERR,GRER,HUNR,ITAR,JAPR,MALR,MONR,SANR,SPAR,TURR,UNIR
Fernando Alonso,1,295,0,25,10,25,15,25,8,25,15,25,8,15,0,25,18,18,15,15,8
Kimi Räikkönen,2,291,1,2,18,10,6,15,18,15,25,18,12,25,0,8,25,25,25,25,18
Jarno Trulli,3,199,18,15,12,4,2,0,12,18,2,10,15,8,0,18,10,10,10,10,25
Giancarlo Fisichella,4,196,25,1,15,15,12,18,2,6,12,6,2,2,15,15,12,0,8,18,12
Jenson Button,5,158,4,0,2,12,25,12,0,4,18,15,4,12,18,2,,15,,0,15
Juan Pablo Montoya,6,143,2,,25,18,10,10,10,2,0,12,18,18,0,0,0,,6,12,0
Michael Schumacher,7,129,0,18,6,6,18,8,1,12,10,1,25,6,0,0,4,0,4,0,10
Mark Webber,8,121,15,10,1,0,0,1,15,0,8,0,0,0,6,12,15,12,18,6,2
Ralf Schumacher,9,85,0,8,8,0,1,2,4,0,0,2,10,1,25,10,0,0,12,2,
Nick Heidfeld,10,68,6,12,,,0,,25,0,6,0,0,,,1,8,2,0,8,0
Takuma Sato,11,59,0,0,0,0,8,0,0,10,4,4,1,10,10,,,8,,,4
Rubens Barrichello,12,47,0,0,0,1,0,4,6,8,0,8,6,4,2,0,1,1,0,0,6
Christian Klien,13,42,8,6,0,8,0,0,,0,1,0,0,0,12,6,,,,1,0
David Coulthard,14,36,10,0,0,0,0,6,0,0,0,0,0,0,8,4,6,0,2,0,0
Jacques Villeneuve,15,22,12,0,0,0,4,0,0,0,0,0,0,0,4,0,2,0,0,0,0
Felipe Massa,16,18,0,0,4,2,0,0,0,1,0,0,0,0,1,0,0,4,1,4,1
Alexander Wurz,17,6,,,,,,,,,,,,,,,,6,,,
Pedro de la Rosa,18,4,,4,,,,,,,,,,,,,,,,,
Narain Karthikeyan,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tiago Monteiro,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrick Friesacher,21,0,0,0,,,0,,0,0,,0,,,,0,0,0,0,,0
Christijan Albers,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Davidson,23,0,,,,,,,,,,,,,,0,,,,,
Vitantonio Liuzzi,24,0,,,,,,,0,,,,,,,,0,0,0,,
Ricardo Zonta,25,0,,,,,,,,,,,,,,,,,,,0
Robert Doornbos,26,0,,,0,0,,0,,,0,,0,0,0,,,,,0,
Antônio Pizzonia,27,0,,,0,0,,0,,,,,,0,0,,,,,,
