Équipe,Rang,Points,AUS,MAL,BAH,SPA,MON,CAN,UNI,FRA,GRE,EUR,HUN,TUR,ITA,BEL,JAP,CHI,BRA
McLaren,1,112,9,9,6,9,9,9,9,4,9,4,9,6,9,6,1,0,4
Ferrari,2,93,6,6,9,1,4,1,6,9,6,2,1,9,0,9,6,9,9
BMW Sauber,3,57,0,0,4,0,6,3,0,6,4,6,6,4,6,4,2,0,6
Renault,4,49,3,4,3,6,1,2,4,0,3,3,2,3,3,0,9,3,
Honda,5,26,2,3,0,3,3,0,0,3,2,0,0,0,4,0,4,2,
Williams,6,23,0,0,2,0,2,6,2,1,1,1,0,2,2,0,,1,3
Toyota,7,18,4,2,1,,0,0,0,0,,0,4,1,1,3,0,0,2
Red Bull,8,18,0,0,,0,0,0,0,2,0,9,3,0,0,0,0,4,0
Super Aguri,9,13,1,1,0,4,0,4,0,0,0,0,0,0,0,2,0,0,1
Spyker,10,9,0,,0,2,0,,3,0,0,,0,0,0,1,3,0,
Toro Rosso,11,7,0,0,,,0,,1,,0,,0,0,0,0,0,6,0
