Équipe,Rang,Points,BAH,AUS,MAL,CHI,SPA,MON,TUR,CAN,EUR,GRE,GER,HUN,BEL,ITA,SIN,JAP,KOR,BRA,ABU
Red Bull,1,97,3,0,9,4,9,9,0,6,0,6,4,9,1,6,9,9,,9,4
McLaren,2,93,4,6,6,9,2,0,9,9,9,9,6,0,0,0,0,6,3,6,9
Ferrari,3,89,9,9,2,3,6,6,4,0,6,1,9,6,0,9,6,0,9,1,3
Mercedes,4,54,6,4,0,2,3,2,6,3,1,4,3,0,9,4,2,0,1,4,0
Renault,5,36,0,3,0,6,4,1,1,0,2,0,2,0,6,2,3,,0,0,6
Williams,6,27,1,1,3,1,0,,0,1,0,3,1,3,0,3,4,0,4,2,0
Sauber,7,26,,0,,,0,,3,,4,0,0,4,3,0,,4,6,0,2
Toro Rosso,8,23,0,0,4,0,0,3,0,2,3,0,0,0,2,1,1,3,0,3,1
Force India,9,21,2,2,0,0,1,4,2,4,0,2,0,0,4,0,0,,0,0,0
Lotus Racing,10,4,0,0,0,0,0,0,,0,0,0,,2,0,0,0,2,0,0,0
HRT,11,4,,0,1,0,,0,0,0,0,0,0,0,0,0,,1,2,0,0
Virgin,12,1,,,0,,0,,0,0,0,0,0,1,0,0,0,0,,0,0
