Équipe,Rang,Points,ABU,AUS,BEL,BRA,CAN,CHI,EUR,GER,GRE,HUN,IND,ITA,JAP,KOR,MAL,MON,SIN,SPA,TUR
Red Bull,1,148,0,9,9,9,9,9,9,9,9,6,9,1,9,9,9,9,9,6,9
McLaren,2,90,9,6,0,0,0,6,4,0,0,9,4,9,6,6,4,6,6,9,6
Ferrari,3,72,6,4,4,6,0,4,6,6,6,4,0,6,4,4,6,0,3,0,3
Mercedes,4,43,4,,6,1,4,3,0,4,4,0,6,0,3,0,2,0,0,4,2
Force India,5,39,3,3,3,4,0,1,2,2,1,2,2,0,2,2,3,4,4,1,0
Toro Rosso,6,26,0,2,,3,6,0,3,1,0,3,0,4,0,3,1,0,0,0,0
Renault,7,18,0,1,2,0,0,2,1,0,3,0,3,0,0,0,0,0,0,2,4
Sauber,8,18,2,,0,2,3,0,0,3,0,1,0,,1,1,0,0,1,3,1
Williams,9,9,1,,0,0,0,0,0,0,2,0,0,3,0,0,,1,2,0,0
Lotus Racing,10,6,0,0,1,0,0,0,0,0,,,0,2,0,0,0,3,0,0,0
HRT,11,4,0,,0,0,1,0,0,0,0,0,1,,0,0,,2,0,0,0
Virgin,12,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
