Équipe,Rang,Points,ABU,AUS,BAH,BEL,BRA,CAN,CHI,EUR,GER,GRE,HUN,IND,ITA,JAP,KOR,MAL,MON,SIN,SPA,UNI
Red Bull,1,108,0,6,6,9,6,9,6,0,6,9,4,9,0,6,9,6,9,4,4,0
Ferrari,2,82,9,0,4,0,9,3,2,2,2,6,3,4,9,0,6,1,6,6,1,9
Lotus,3,62,1,0,9,0,0,6,1,0,0,4,9,3,2,0,4,0,1,9,9,4
McLaren,4,59,0,9,0,0,0,0,9,0,0,3,6,6,0,9,0,2,3,0,6,6
Force India,5,45,0,0,2,4,0,2,0,6,3,0,2,2,0,4,2,9,4,2,2,1
Toro Rosso,6,35,4,3,0,6,4,1,0,0,1,2,0,1,0,3,3,4,0,0,3,0
Sauber,7,33,3,4,1,0,0,4,3,0,9,0,0,0,4,0,0,0,0,3,0,2
Mercedes,8,33,0,0,3,3,2,0,0,9,4,1,0,0,6,0,0,3,2,0,0,0
Williams,9,25,6,1,0,0,,0,4,4,0,0,1,0,3,2,1,0,0,0,0,3
Caterham,10,11,2,,0,1,3,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0
Marussia,11,6,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HRT,12,1,0,,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0
