Pilote,Rang,Points,ABUR,AUSR,BAHR,BELR,BRAR,CANR,CHIR,GERR,GRER,HUNR,INDR,ITAR,JAPR,KORR,MALR,MONR,SINR,SPAR,UNIR
Sebastian Vettel,1,378,18,25,18,18,25,25,,18,15,18,25,25,18,25,25,15,25,15,25
Lewis Hamilton,2,308,12,15,12,25,10,18,25,25,25,25,15,,15,18,12,18,10,18,10
Nico Rosberg,3,252,15,8,25,12,18,12,12,,18,12,18,8,8,10,8,25,18,25,
Mark Webber,4,243,25,18,10,15,12,10,,15,12,,12,18,25,15,10,12,12,4,18
Fernando Alonso,5,154,,10,15,2,15,8,15,4,2,10,4,10,4,8,15,8,6,10,8
Romain Grosjean,6,125,8,4,,6,8,,8,10,6,15,,,12,12,,,15,6,15
Felipe Massa,7,123,6,12,8,1,2,,10,6,,6,10,12,10,6,18,,8,8,
Kimi Räikkönen,8,95,0,6,2,4,,2,18,12,4,8,8,,2,1,6,10,,12,
Nico Hülkenberg,9,54,10,,,,1,,,,,,6,15,6,4,,,,,12
Daniel Ricciardo,10,45,2,,,,6,1,6,8,10,4,,6,,,,,2,,
Jenson Button,11,27,,1,,8,,,4,,,,1,2,1,,4,2,4,,
Sergio Pérez,12,27,4,,,,,,,,,2,2,4,,,1,6,,2,6
Adrian Sutil,13,22,,,4,,,4,,,8,,,,,,2,4,,,
Paul di Resta,14,19,,2,6,10,,,,,0,,,,,,,,,1,
Valtteri Bottas,15,17,,,,,,15,,,,,,,,,,,,,2
Jean-Éric Vergne,16,12,,,,,4,6,,,,,,1,,,,1,,,
Heikki Kovalainen,17,4,,,,,,,,,,,,,,,,,,,4
Esteban Gutiérrez,18,3,,,,,,,,,,,,,,2,,,,,1
