Pilote,Rang,Points,ABUR,AUSR,BAHR,BELR,BRAR,CANR,CHIR,EURR,GERR,GRER,HUNR,ITAR,JAPR,MALR,MEXR,MONR,RUSR,SINR,SPAR,UNIR
Nico Rosberg,1,434,18,18,18,25,18,18,25,25,25,18,25,18,25,18,18,18,25,25,18,18
Lewis Hamilton,2,385,25,25,25,,25,25,,1,18,25,18,25,18,25,25,15,,15,25,25
Daniel Ricciardo,3,261,15,6,10,10,8,12,18,15,15,12,15,8,8,12,12,25,8,18,15,15
Sebastian Vettel,4,228,10,12,15,12,10,15,12,12,8,8,10,15,12,10,6,12,18,,8,8
Kimi Räikkönen,5,220,12,8,12,15,15,8,15,10,10,10,,12,15,8,8,8,12,10,10,10
Max Verstappen,6,187,8,2,,18,12,10,2,2,12,15,12,6,10,15,15,,2,12,12,12
Valtteri Bottas,7,86,,4,8,4,,6,10,4,4,6,1,10,,,4,,15,,6,4
Nico Hülkenberg,8,85,6,15,4,6,4,2,,,6,2,2,2,2,4,10,10,,4,,6
Sergio Pérez,9,69,4,,,8,2,,6,18,2,,,4,6,6,,4,6,1,2,
Felipe Massa,10,45,1,1,6,1,,4,,8,1,,,,,1,2,,10,,,2
Carlos Sainz Jr.,11,42,,6,,,,,4,,,4,8,,,,1,6,,8,4,1
Daniil Kvyat,12,26,,,,,,,8,6,,,,,,,,2,4,6,,
Jenson Button,13,18,,10,,2,,,,,,,4,,,2,,,,,,
Fernando Alonso,14,15,2,,,,1,1,,,,1,6,,,,,1,,2,1,
Romain Grosjean,15,10,,,,,6,,,,,,,,4,,,,,,,
Esteban Gutiérrez,16,2,,,,,,,,,,,,1,1,,,,,,,
