Pilote,Rang,Points,ABUR,AUSR,AZER,BAHR,BELR,BRAR,CANR,CHIR,FRAR,GERR,GRER,HUNR,ITAR,JAPR,MEXR,MONR,RUSR,SINR,SPAR,UNIR
Lewis Hamilton,1,410,25,43,18,12,25,25,12,12,25,0,25,25,15,25,15,15,18,25,25,25
Sebastian Vettel,2,364,15,30,25,25,18,18,25,25,15,25,18,12,18,2,12,18,15,15,15,18
Valtteri Bottas,3,306,18,26,15,15,1,15,18,15,18,18,12,18,12,18,10,10,25,12,18,12
Kimi Räikkönen,4,275,12,30,8,18,8,12,10,18,8,15,15,15,25,12,8,12,12,10,12,15
Max Verstappen,5,192,8,22,10,0,6,10,15,10,12,12,10,6,10,15,18,,0,18,10,0
Daniel Ricciardo,6,170,10,16,12,10,4,8,8,8,10,0,8,0,0,0,25,25,0,8,8,10
Romain Grosjean,7,76,6,14,0,0,10,2,,1,1,8,4,1,8,10,0,0,2,4,1,4
Esteban Ocon,8,64,2,0,6,2,15,0,4,0,0,0,1,0,4,4,0,8,8,2,0,8
Kevin Magnussen,9,56,0,12,0,6,2,0,0,0,2,10,6,2,0,0,0,0,10,0,6,0
Carlos Sainz Jr.,10,46,0,4,1,1,0,0,2,2,6,4,0,10,6,0,4,4,0,0,2,0
Nico Hülkenberg,11,43,1,5,2,4,0,0,6,6,0,6,0,0,0,0,6,0,0,1,0,6
Sergio Pérez,12,36,0,0,4,0,12,0,1,4,0,1,0,0,0,1,0,2,4,6,0,1
Charles Leclerc,13,26,4,0,0,0,0,4,0,0,4,2,2,0,0,0,2,0,6,0,0,2
Pierre Gasly,14,26,0,0,0,8,0,1,0,0,0,0,0,8,2,6,0,1,0,0,0,0
Brendon Hartley,15,12,0,0,0,0,0,0,0,0,0,0,,4,0,8,0,0,0,0,,0
Fernando Alonso,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0
Marcus Ericsson,17,8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Lance Stroll,18,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Stoffel Vandoorne,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergey Sirotkin,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
