Équipe,Rang,Points,ABU,AUS,AZE,BAH,BEL,BRA,CAN,CHI,FRA,GER,GRE,HUN,ITA,JAP,MEX,MON,RUS,SIN,SPA,UNI
Mercedes,1,157,9,6,9,9,9,0,6,9,9,0,9,4,9,9,9,9,9,6,9,9
Ferrari,2,99,6,9,6,6,6,0,9,6,6,1,0,9,2,6,6,0,0,9,6,0
Red Bull,3,76,4,4,0,4,0,2,3,4,3,2,6,6,4,0,4,6,6,4,4,6
McLaren,4,42,3,3,4,0,0,6,0,0,4,0,3,3,0,2,0,3,4,3,0,4
Toro Rosso,5,38,0,0,0,2,4,4,0,0,0,9,2,1,0,3,2,4,2,1,2,0
Renault,6,34,2,1,0,0,1,1,4,0,2,,4,2,6,,3,2,0,2,1,3
Racing Point,7,29,0,0,3,1,3,0,2,3,1,0,0,0,3,4,1,0,3,0,0,2
Alfa Romeo,8,26,0,2,2,3,0,9,1,1,0,3,0,0,1,1,0,0,1,0,0,1
Haas,9,18,1,0,0,0,2,3,0,2,0,6,,0,0,0,0,1,0,0,3,0
Williams,10,6,0,0,1,0,0,0,0,0,0,4,1,0,0,0,0,0,,0,0,0
