Équipe,Rang,Points,70T,ABU,AUS,BAH,BEL,EIF,EMI,GRE,HUN,ITA,POR,RUS,SAK,SPA,STY,TUR,TUS
Mercedes,1,117,9,9,9,4,9,1,9,3,9,6,9,9,4,9,9,0,9
Red Bull,2,63,6,6,0,9,4,0,0,6,6,0,3,3,0,4,6,6,4
McLaren,3,52,1,4,6,6,0,0,6,2,2,9,2,0,3,3,3,4,1
Renault,4,52,0,3,1,3,6,0,1,9,1,4,6,6,6,1,0,2,3
Racing Point,5,50,4,0,2,0,3,9,2,0,4,2,0,0,9,6,4,3,2
Ferrari,6,46,2,1,4,1,1,6,3,4,3,,4,2,0,0,,9,6
AlphaTauri,7,26,3,2,3,2,2,2,0,0,0,3,0,4,2,2,0,1,0
Alfa Romeo,8,12,0,0,0,0,0,4,4,0,0,0,1,1,1,0,1,0,0
Haas,9,5,0,0,,0,0,3,0,0,0,0,0,0,0,0,2,0,0
Williams,10,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
