Pilote,Rang,Points,70TR,ABUR,AUSR,BAHR,BELR,EIFR,EMIR,GRER,HUNR,ITAR,PORR,RUSR,SAKR,SPAR,STYR,TURR,TUSR
Lewis Hamilton,1,345,18,15,18,25,25,18,18,25,25,25,25,25,,25,25,8,25
Valtteri Bottas,2,316,25,18,25,18,18,25,25,18,18,18,18,15,25,18,12,2,18
Max Verstappen,3,257,12,25,15,15,15,15,15,15,6,10,15,18,15,15,18,18,15
Sergio Pérez,4,115,,0,8,10,4,2,0,,12,12,10,12,10,12,0,15,8
Alexander Albon,5,111,2,10,10,12,10,10,8,0,0,2,8,1,0,8,6,12,12
Daniel Ricciardo,6,92,10,0,1,8,12,8,10,4,0,6,1,10,6,0,2,10,4
Charles Leclerc,7,86,4,2,6,0,0,12,6,12,8,0,12,0,12,2,0,0,10
Lance Stroll,8,85,8,4,2,0,2,,0,8,15,4,0,0,1,10,0,25,6
Carlos Sainz Jr.,9,84,0,8,4,0,6,1,1,6,2,15,6,8,4,6,15,0,2
Lando Norris,10,76,1,12,12,2,1,4,2,10,4,8,4,4,0,4,8,0,0
Esteban Ocon,11,45,0,0,0,6,8,6,0,2,0,0,0,6,0,0,10,6,1
Pierre Gasly,12,36,6,1,0,4,0,0,12,0,1,1,2,2,2,1,4,0,0
Daniil Kvyat,13,19,0,6,0,1,0,0,4,0,0,0,0,0,8,0,0,0,0
George Russell,14,18,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0
Nico Hülkenberg,15,15,15,,,,,0,,0,,,,,,,,,
Sebastian Vettel,16,12,0,0,0,0,0,0,0,1,10,0,0,0,0,0,1,0,0
Kimi Räikkönen,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Antonio Giovinazzi,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Romain Grosjean,19,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
Kevin Magnussen,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicholas Latifi,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack Aitken,22,0,,,,,,,,,,,,,0,,,,
Pietro Fittipaldi,23,0,,0,,,,,,,,,,,0,,,,
