Équipe,Rang,Points,BAH,EMI,POR,SPA,MON,AZE,FRA,STY,AUS,GRE,HUN,BEL,NET,ITA,RUS,TUR,UNI,MEX,SAO,QAT,SAU,ABU
Mercedes,1,120,9,0,9,9,0,1,6,9,9,9,2,3,9,0,9,6,6,0,9,0,9,6
Red Bull,2,101,6,3,6,6,9,0,9,6,6,0,0,0,4,0,4,9,9,9,6,9,0,0
Ferrari,3,86,3,9,2,4,0,6,0,4,3,4,1,6,6,6,1,4,4,6,4,4,6,3
McLaren,4,74,4,6,3,3,3,4,4,2,4,6,0,2,2,9,6,2,3,3,0,2,4,2
Alpine,5,55,0,4,4,0,2,0,1,1,0,3,9,4,3,4,2,0,,2,3,6,3,4
AlphaTauri,6,38,0,2,0,0,0,9,2,0,2,2,6,1,0,,0,1,0,0,1,1,2,9
Aston Martin,7,29,1,0,1,2,6,0,3,3,0,0,,0,1,2,3,0,2,1,0,3,0,1
Alfa Romeo,8,27,2,1,0,1,4,3,0,0,1,0,3,0,0,1,0,3,1,4,2,0,1,
Williams,9,18,0,,0,0,1,0,0,0,0,1,4,9,0,3,0,0,0,0,0,0,0,
Haas,10,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
