Pilote,Rang,Points,ABUR,AUSR,AUSS,AZER,BAHR,BELR,CANR,CHIR,CHIS,EMIR,GRER,HUNR,ITAR,JAPR,LASR,MEXR,MIAR,MIAS,MONR,NETR,QATR,QATS,SAOR,SAOS,SAUR,SINR,SPAR,UNIR,UNIS
Max Verstappen,1,534,10,25,25,8,25,25,18,25,12,25,12,15,6,25,10,18,25,25,8,18,25,8,,12,25,18,18,18,25
Lando Norris,2,486,25,18,18,,6,10,15,12,25,15,15,25,25,15,8,15,10,2,12,25,15,25,25,18,8,25,25,25,12
George Russell,3,330,6,15,12,10,15,6,25,4,,8,25,,15,2,25,10,6,,10,12,18,18,18,8,6,12,12,8,18
Charles Leclerc,4,320,,8,,25,18,18,,8,6,12,,8,12,4,12,12,18,18,25,8,10,10,8,15,18,,10,12,15
Oscar Piastri,5,314,18,6,15,18,4,8,12,10,4,18,10,18,18,8,4,,8,8,18,15,12,15,4,25,10,10,,10,
Carlos Sainz Jr.,6,296,15,12,10,15,12,4,,6,10,10,6,12,10,12,18,25,15,10,15,,6,12,,10,,,8,15,10
Lewis Hamilton,7,181,,10,8,6,2,12,6,,18,4,18,10,8,6,1,8,4,,6,,8,6,,,4,15,15,,6
Sergio Pérez,8,169,1,4,6,12,10,15,,18,8,,,,4,18,,,12,15,,10,2,,,,15,,4,,
Fernando Alonso,9,112,4,1,,4,8,2,8,15,15,,1,6,,10,,,,4,,6,4,,2,,12,6,,4,
Pierre Gasly,10,54,8,,2,,,,,,,,,,,,15,4,,,1,2,,4,,6,,,6,6,
Nico Hülkenberg,11,51,12,2,,,1,,,2,,1,8,,1,,2,1,2,1,,,,2,,,,8,,,8
Yuki Tsunoda,12,50,,4,,,,,4,,,6,,1,,1,6,,1,,4,,,,15,,2,4,,,2
Daniel Ricciardo,13,26,,,,,,,10,,,2,,2,,,,,,12,,,,,,,,,,,
Lance Stroll,14,23,,2,,,,,2,,,,4,4,,,,,,6,,4,,,,,1,,,,
Esteban Ocon,15,20,,1,4,,,1,,,,,,,,,,,,,,,,,12,,,,2,,
Alexander Albon,16,18,,,,1,,,1,,,,2,,2,,,2,,,2,,,,6,2,,,,,
Liam Lawson,17,15,,,,,,,,,,,,,,,,,,,,,,1,10,4,,,,,
Kevin Magnussen,18,13,,,,,,,,,,,,,,,,6,,,,,1,,,,,,,2,4
Valtteri Bottas,19,5,2,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,
Franco Colapinto,20,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1
Guanyu Zhou,21,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
