Équipe,Rang,Points,AUS,CHI,JAP,MIA,CAN,MON,BAR,GRE,BEL,HUN,NET,ITA,SPA,AZE,BAH,SIN,UNI,MEX,SAO,LAS,QAT,ABU
Mercedes,1,82,9,9,9,6,1,6,1,1,0,4,9,9,9,,,,,,,,,
Ferrari,2,68,3,6,4,4,9,1,2,9,9,9,6,0,0,,,,,,,,,
McLaren,3,49,4,,6,9,0,0,9,3,4,0,4,6,4,,,,,,,,,
Racing Bulls,4,40,2,3,1,0,0,9,4,6,2,3,3,3,1,,,,,,,,,
Red Bull,5,40,6,0,3,0,6,0,6,0,6,6,0,1,6,,,,,,,,,
Alpine,6,31,0,4,0,0,4,3,3,4,3,0,1,4,3,,,,,,,,,
Audi,7,19,1,0,2,0,3,4,0,0,1,2,2,2,2,,,,,,,,,
Haas,8,12,0,2,0,2,2,0,0,2,0,0,,0,0,,,,,,,,,
Williams,9,6,0,0,0,3,0,2,0,0,0,0,0,0,0,,,,,,,,,
Aston Martin,10,2,0,,0,1,0,0,,0,0,1,0,,0,,,,,,,,,
Cadillac,11,1,0,1,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,
