Pilote,Rang,Points,AUSR,BARR,BELR,CANR,CANS,CHIR,CHIS,GRER,GRES,HUNR,ITAR,JAPR,MIAR,MIAS,MONR,NETR,NETS,SPAR
Kimi Antonelli,1,346,12,15,25,18,18,25,18,25,18,12,6,25,25,18,25,15,10,18
George Russell,2,321,25,25,12,25,25,18,25,12,10,6,18,18,10,8,8,18,25,8
Lando Norris,3,258,8,12,15,15,15,8,15,8,8,25,2,10,12,25,4,25,18,25
Lewis Hamilton,4,227,15,18,8,10,10,15,12,15,25,18,10,8,8,6,15,10,6,12
Charles Leclerc,5,213,18,,10,4,8,12,8,18,12,15,12,12,15,12,12,8,15,10
Oscar Piastri,6,179,6,6,6,12,12,10,10,4,6,10,15,15,6,15,6,12,12,6
Max Verstappen,7,172,10,10,18,8,6,4,4,6,15,8,8,,18,10,18,6,8,15
Isack Hadjar,8,74,4,8,,6,4,2,1,10,4,4,,4,,2,10,,,
Pierre Gasly,9,52,,,,,,6,6,,,,25,6,2,1,2,,4,
Liam Lawson,10,22,2,4,,,,,,1,2,,,,,,1,4,,4
Arvid Lindblad,11,21,1,,4,2,2,,,2,1,2,1,1,,,,1,1,1
Franco Colapinto,12,15,,,,1,,,,,,,4,,4,4,,,,2
Gabriel Bortoleto,13,8,,,2,,,,,,,,,2,,,,2,2,
Oliver Bearman,14,3,,,,,,1,2,,,,,,,,,,,
Nico Hülkenberg,15,3,,2,,,,,,,,1,,,,,,,,
Carlos Sainz Jr.,16,1,,,,,1,,,,,,,,,,,,,
