Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Watson,1,9,Jim Rathmann,2,Rodger Ward,1
Epperly,2,6,Paul Goldsmith,5,Tony Bettenhausen,4
Kurtis Kraft,3,4,Eddie Johnson,8,Duane Carter,7
Kuzma,4,3,Gene Hartley,11,Anthony Joseph Foyt,10
Lesovsky,5,2,Len Sutton,32,Johnny Thomson,3
Moore,6,1,,,Bob Veith,12
Dunn,7,0,,,Al Herman,13
Elder,8,0,,,Ray Crawford,23
Phillips,9,0,,,Don Branson,24
Christensen,10,0,,,Jack Turner,27
Sutton,11,0,,,Mike Magill,30
