Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Williams,1,9,Damon Hill,3,David Coulthard,2
Ferrari,2,6,Jean Alesi,5,Gerhard Berger,4
Benetton,3,4,Johnny Herbert,6,Michael Schumacher,1
McLaren,4,3,Jan Magnussen,10,Mark Blundell,9
Tyrrell,5,2,Ukyo Katayama,14,Mika Salo,12
Minardi,6,1,Luca Badoer,15,Pedro Lamy,13
Forti,7,0,Pedro Diniz,17,Roberto Moreno,16
Sauber,8,0,,,Heinz-Harald Frentzen,7
Ligier,9,0,,,Olivier Panis,8
Jordan,10,0,,,Eddie Irvine,11
