Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
McLaren,1,9,David Coulthard,2,Mika Häkkinen,1
Jordan,2,6,Ralf Schumacher,6,Damon Hill,4
Ferrari,3,4,Eddie Irvine,8,Michael Schumacher,5
Williams,4,3,Heinz-Harald Frentzen,9,Jacques Villeneuve,3
Benetton,5,2,Alexander Wurz,11,Giancarlo Fisichella,7
Prost,6,1,Olivier Panis,15,Jarno Trulli,12
Sauber,7,0,,,Jean Alesi,10
Tyrrell,8,0,,,Toranosuke Takagi,13
Arrows,9,0,,,Mika Salo,14
Minardi,10,0,,,Esteban Tuero,16
