Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Ferrari,1,9,Rubens Barrichello,3,Michael Schumacher,1
McLaren,2,6,David Coulthard,7,Kimi Räikkönen,2
Sauber,3,4,Felipe Massa,9,Giancarlo Fisichella,6
BAR,4,3,Takuma Sato,11,Jenson Button,4
Williams,5,2,Marc Gené,12,Juan Pablo Montoya,5
Jaguar,6,1,Christian Klien,14,Mark Webber,8
Renault,7,0,,,Fernando Alonso,10
Toyota,8,0,,,Cristiano da Matta,13
Jordan,9,0,,,Nick Heidfeld,15
Minardi,10,0,,,Gianmaria Bruni,16
