Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Renault,1,9,Fernando Alonso,3,Giancarlo Fisichella,1
Red Bull,2,6,Christian Klien,7,David Coulthard,4
McLaren,3,4,Kimi Räikkönen,8,Juan Pablo Montoya,6
Toyota,4,3,Ralf Schumacher,12,Jarno Trulli,9
Sauber,5,2,Jacques Villeneuve,13,Felipe Massa,10
BAR,6,1,Takuma Sato,14,Jenson Button,11
Jordan,7,0,Tiago Monteiro,16,Narain Karthikeyan,15
Ferrari,8,0,,,Rubens Barrichello,2
Williams,9,0,,,Mark Webber,5
Minardi,10,0,,,Patrick Friesacher,17
