Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Sauber,1,9,Felipe Massa,10,Jacques Villeneuve,6
Jordan,2,6,Narain Karthikeyan,11,Tiago Monteiro,8
Minardi,3,4,Robert Doornbos,13,Christijan Albers,12
McLaren,4,3,Juan Pablo Montoya,14,Kimi Räikkönen,1
Williams,5,2,Antônio Pizzonia,15,Mark Webber,4
Renault,6,1,,,Fernando Alonso,2
BAR,7,0,,,Jenson Button,3
Ferrari,8,0,,,Rubens Barrichello,5
Toyota,9,0,,,Ralf Schumacher,7
Red Bull,10,0,,,Christian Klien,9
