Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Renault,1,9,Giancarlo Fisichella,3,Fernando Alonso,2
Honda,2,6,Rubens Barrichello,6,Jenson Button,4
Williams,3,4,Nico Rosberg,11,Mark Webber,8
Red Bull,4,3,Robert Doornbos,12,David Coulthard,9
BMW Sauber,5,2,Robert Kubica,13,Nick Heidfeld,7
Toro Rosso,6,1,Scott Speed,14,Vitantonio Liuzzi,10
Ferrari,7,0,,,Michael Schumacher,1
McLaren,8,0,,,Pedro de la Rosa,5
Midland,9,0,,,Christijan Albers,15
Super Aguri,10,0,,,Sakon Yamamoto,16
