Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Ferrari,1,9,Felipe Massa,2,Kimi Räikkönen,1
BMW Sauber,2,6,Nick Heidfeld,5,Robert Kubica,4
McLaren,3,4,Fernando Alonso,7,Lewis Hamilton,3
Honda,4,3,Rubens Barrichello,11,Jenson Button,8
Red Bull,5,2,David Coulthard,13,Mark Webber,12
Williams,6,1,Alexander Wurz,14,Nico Rosberg,9
Renault,7,0,Heikki Kovalainen,15,Giancarlo Fisichella,6
Toyota,8,0,,,Ralf Schumacher,10
Super Aguri,9,0,,,Takuma Sato,16
Spyker,10,0,,,Adrian Sutil,17
