Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Ferrari,1,9,Kimi Räikkönen,3,Felipe Massa,1
McLaren,2,6,Heikki Kovalainen,7,Lewis Hamilton,5
Toyota,3,4,Jarno Trulli,8,Timo Glock,6
BMW Sauber,4,3,Robert Kubica,11,Nick Heidfeld,10
Toro Rosso,5,2,Sébastien Bourdais,14,Sebastian Vettel,4
Honda,6,1,Rubens Barrichello,15,Jenson Button,13
Williams,7,0,Kazuki Nakajima,17,Nico Rosberg,12
Force India,8,0,Giancarlo Fisichella,18,Adrian Sutil,16
Renault,9,0,,,Fernando Alonso,2
Red Bull,10,0,,,Mark Webber,9
