Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Ferrari,1,9,Kimi Räikkönen,3,Felipe Massa,1
BMW Sauber,2,6,Nick Heidfeld,5,Robert Kubica,4
Red Bull,3,4,David Coulthard,9,Mark Webber,7
McLaren,4,3,Heikki Kovalainen,12,Lewis Hamilton,2
Toyota,5,2,Timo Glock,13,Jarno Trulli,10
Honda,6,1,Rubens Barrichello,14,Jenson Button,11
Renault,7,0,Nelson Piquet Jr.,15,Fernando Alonso,6
Williams,8,0,,,Nico Rosberg,8
Force India,9,0,,,Adrian Sutil,16
Toro Rosso,10,0,,,Sebastian Vettel,17
