Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
BMW Sauber,1,9,Nick Heidfeld,5,Robert Kubica,3
McLaren,2,6,Lewis Hamilton,7,Heikki Kovalainen,2
Ferrari,3,4,Kimi Räikkönen,9,Felipe Massa,6
Renault,4,3,Nelson Piquet Jr.,10,Fernando Alonso,4
Toyota,5,2,Jarno Trulli,13,Timo Glock,11
Williams,6,1,Nico Rosberg,14,Kazuki Nakajima,12
Red Bull,7,0,David Coulthard,16,Mark Webber,8
Honda,8,0,Rubens Barrichello,17,Jenson Button,15
Toro Rosso,9,0,Sébastien Bourdais,18,Sebastian Vettel,1
Force India,10,0,,,Adrian Sutil,19
