Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Red Bull,1,9,Mark Webber,4,Sebastian Vettel,1
McLaren,2,6,Lewis Hamilton,6,Jenson Button,3
Force India,3,4,Paul di Resta,12,Adrian Sutil,7
Lotus Racing,4,3,Heikki Kovalainen,14,Jarno Trulli,13
HRT,5,2,Narain Karthikeyan,17,Vitantonio Liuzzi,16
Williams,6,1,Pastor Maldonado,18,Rubens Barrichello,9
Ferrari,7,0,,,Fernando Alonso,2
Sauber,8,0,,,Kamui Kobayashi,5
Renault,9,0,,,Nick Heidfeld,8
Toro Rosso,10,0,,,Sébastien Buemi,10
Mercedes,11,0,,,Nico Rosberg,11
Virgin,12,0,,,Jérôme d'Ambrosio,15
