Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Red Bull,1,9,Mark Webber,3,Sebastian Vettel,1
McLaren,2,6,Jenson Button,4,Lewis Hamilton,2
Ferrari,3,4,Felipe Massa,6,Fernando Alonso,5
Toro Rosso,4,3,Sébastien Buemi,9,Jaime Alguersuari,7
Force India,5,2,Adrian Sutil,11,Paul di Resta,10
Sauber,6,1,Sergio Pérez,16,Kamui Kobayashi,15
Lotus Racing,7,0,Jarno Trulli,17,Heikki Kovalainen,14
Virgin,8,0,Jérôme d'Ambrosio,20,Timo Glock,18
HRT,9,0,Vitantonio Liuzzi,21,Daniel Ricciardo,19
Mercedes,10,0,,,Nico Rosberg,8
Williams,11,0,,,Rubens Barrichello,12
Renault,12,0,,,Bruno Senna,13
