Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
McLaren,1,9,Jenson Button,3,Lewis Hamilton,1
Ferrari,2,6,Felipe Massa,5,Fernando Alonso,2
Mercedes,3,4,Michael Schumacher,7,Nico Rosberg,6
Force India,4,3,Paul di Resta,9,Adrian Sutil,8
Sauber,5,2,Sergio Pérez,11,Kamui Kobayashi,10
Williams,6,1,Pastor Maldonado,14,Rubens Barrichello,12
Renault,7,0,Bruno Senna,16,Vitaly Petrov,13
Lotus Racing,8,0,Jarno Trulli,18,Heikki Kovalainen,17
Red Bull,9,0,,,Mark Webber,4
Toro Rosso,10,0,,,Jaime Alguersuari,15
Virgin,11,0,,,Timo Glock,19
HRT,12,0,,,Vitantonio Liuzzi,20
