Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Red Bull,1,9,Mark Webber,7,Sebastian Vettel,4
Lotus,2,6,Kimi Räikkönen,8,Romain Grosjean,2
Sauber,3,4,Kamui Kobayashi,9,Sergio Pérez,3
Ferrari,4,3,Felipe Massa,10,Fernando Alonso,5
Force India,5,2,Nico Hülkenberg,12,Paul di Resta,11
Toro Rosso,6,1,Jean-Éric Vergne,15,Daniel Ricciardo,14
McLaren,7,0,Jenson Button,16,Lewis Hamilton,1
Williams,8,0,Bruno Senna,17,Pastor Maldonado,13
Caterham,9,0,Vitaly Petrov,19,Heikki Kovalainen,18
Mercedes,10,0,,,Nico Rosberg,6
Marussia,11,0,,,Charles Pic,20
