Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Mercedes,1,9,Nico Rosberg,6,Michael Schumacher,3
Force India,2,6,Paul di Resta,7,Nico Hülkenberg,5
Williams,3,4,Pastor Maldonado,12,Bruno Senna,10
Caterham,4,3,Heikki Kovalainen,14,Vitaly Petrov,13
Ferrari,5,2,Felipe Massa,16,Fernando Alonso,1
HRT,6,1,Narain Karthikeyan,18,Pedro de la Rosa,17
McLaren,7,0,Lewis Hamilton,19,Jenson Button,8
Lotus,8,0,,,Kimi Räikkönen,2
Red Bull,9,0,,,Mark Webber,4
Sauber,10,0,,,Sergio Pérez,9
Toro Rosso,11,0,,,Daniel Ricciardo,11
Marussia,12,0,,,Charles Pic,15
