Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Lotus,1,9,Romain Grosjean,3,Kimi Räikkönen,2
Red Bull,2,6,Mark Webber,7,Sebastian Vettel,1
Mercedes,3,4,Nico Rosberg,9,Lewis Hamilton,5
McLaren,4,3,Jenson Button,10,Sergio Pérez,6
Force India,5,2,Adrian Sutil,13,Paul di Resta,4
Williams,6,1,Valtteri Bottas,14,Pastor Maldonado,11
Ferrari,7,0,Felipe Massa,15,Fernando Alonso,8
Sauber,8,0,Esteban Gutiérrez,18,Nico Hülkenberg,12
Marussia,9,0,Max Chilton,20,Jules Bianchi,19
Caterham,10,0,Giedo van der Garde,21,Charles Pic,17
Toro Rosso,11,0,,,Daniel Ricciardo,16
