Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Mercedes,1,9,Lewis Hamilton,6,Nico Rosberg,2
Lotus,2,6,Kimi Räikkönen,7,Romain Grosjean,3
Force India,3,4,Adrian Sutil,9,Paul di Resta,8
Ferrari,4,3,Fernando Alonso,11,Felipe Massa,4
Toro Rosso,5,2,Jean-Éric Vergne,13,Daniel Ricciardo,10
McLaren,6,1,Jenson Button,14,Sergio Pérez,5
Williams,7,0,Valtteri Bottas,16,Pastor Maldonado,12
Marussia,8,0,Jules Bianchi,18,Max Chilton,17
Sauber,9,0,Nico Hülkenberg,19,Esteban Gutiérrez,15
Red Bull,10,0,,,Sebastian Vettel,1
