Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Mercedes,1,9,Nico Rosberg,2,Lewis Hamilton,1
Red Bull,2,6,Sebastian Vettel,4,Daniel Ricciardo,3
Ferrari,3,4,Kimi Räikkönen,7,Fernando Alonso,6
Force India,4,3,Nico Hülkenberg,10,Sergio Pérez,9
McLaren,5,2,Kevin Magnussen,12,Jenson Button,11
Williams,6,1,Felipe Massa,13,Valtteri Bottas,5
Lotus,7,0,Pastor Maldonado,15,Romain Grosjean,8
Sauber,8,0,Adrian Sutil,17,Esteban Gutiérrez,16
Marussia,9,0,Max Chilton,19,Jules Bianchi,18
Toro Rosso,10,0,,,Daniil Kvyat,14
Caterham,11,0,,,Marcus Ericsson,20
