Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Mercedes,1,9,Nico Rosberg,2,Lewis Hamilton,1
McLaren,2,6,Jenson Button,9,Fernando Alonso,5
Toro Rosso,3,4,Daniil Kvyat,11,Carlos Sainz Jr.,6
Renault,4,3,Jolyon Palmer,13,Kevin Magnussen,12
Sauber,5,2,Felipe Nasr,15,Marcus Ericsson,14
Williams,6,1,Valtteri Bottas,16,Felipe Massa,7
Manor,7,0,Esteban Ocon,18,Pascal Wehrlein,17
Red Bull,8,0,,,Daniel Ricciardo,3
Ferrari,9,0,,,Sebastian Vettel,4
Force India,10,0,,,Sergio Pérez,8
Haas,11,0,,,Romain Grosjean,10
