Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Red Bull,1,9,Daniel Ricciardo,4,Max Verstappen,2
Mercedes,2,6,Valtteri Bottas,5,Lewis Hamilton,1
Ferrari,3,4,Sebastian Vettel,6,Kimi Räikkönen,3
Haas,4,3,Kevin Magnussen,9,Romain Grosjean,8
Toro Rosso,5,2,Pierre Gasly,13,Brendon Hartley,11
Force India,6,1,Esteban Ocon,14,Sergio Pérez,10
McLaren,7,0,Fernando Alonso,17,Stoffel Vandoorne,15
Williams,8,0,Lance Stroll,18,Sergey Sirotkin,16
Sauber,9,0,,,Charles Leclerc,7
Renault,10,0,,,Carlos Sainz Jr.,12
