Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Mercedes,1,9,Lewis Hamilton,2,Valtteri Bottas,1
Ferrari,2,6,Charles Leclerc,5,Sebastian Vettel,3
McLaren,3,4,Lando Norris,8,Carlos Sainz Jr.,7
Racing Point,4,3,Lance Stroll,9,Sergio Pérez,6
Alfa Romeo,5,2,Antonio Giovinazzi,12,Kimi Räikkönen,10
Williams,6,1,Robert Kubica,16,George Russell,15
Red Bull,7,0,,,Max Verstappen,4
Toro Rosso,8,0,,,Alexander Albon,11
Haas,9,0,,,Kevin Magnussen,13
Renault,10,0,,,Nico Hülkenberg,14
