Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Ferrari,1,9,Charles Leclerc,4,Sebastian Vettel,3
Red Bull,2,6,Pierre Gasly,6,Max Verstappen,2
Mercedes,3,4,Valtteri Bottas,8,Lewis Hamilton,1
McLaren,4,3,Lando Norris,9,Carlos Sainz Jr.,5
Renault,5,2,Daniel Ricciardo,14,Nico Hülkenberg,12
Toro Rosso,6,1,Daniil Kvyat,15,Alexander Albon,10
Racing Point,7,0,Lance Stroll,17,Sergio Pérez,11
Alfa Romeo,8,0,Antonio Giovinazzi,18,Kimi Räikkönen,7
Williams,9,0,Robert Kubica,19,George Russell,16
Haas,10,0,,,Kevin Magnussen,13
