Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Mercedes,1,9,Valtteri Bottas,2,Lewis Hamilton,1
Renault,2,6,Daniel Ricciardo,9,Esteban Ocon,8
Ferrari,3,4,Sebastian Vettel,10,Charles Leclerc,4
Red Bull,4,3,Alexander Albon,12,Max Verstappen,3
McLaren,5,2,Lando Norris,13,Carlos Sainz Jr.,6
Alfa Romeo,6,1,Antonio Giovinazzi,15,Kimi Räikkönen,11
Haas,7,0,Romain Grosjean,17,Kevin Magnussen,16
Williams,8,0,Nicholas Latifi,18,George Russell,14
AlphaTauri,9,0,Daniil Kvyat,19,Pierre Gasly,5
Racing Point,10,0,,,Sergio Pérez,7
