Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Mercedes,1,9,Valtteri Bottas,2,Lewis Hamilton,1
McLaren,2,6,Lando Norris,8,Carlos Sainz Jr.,7
Alfa Romeo,3,4,Antonio Giovinazzi,10,Kimi Räikkönen,9
Ferrari,4,3,Sebastian Vettel,12,Charles Leclerc,5
Racing Point,5,2,Lance Stroll,13,Sergio Pérez,6
Renault,6,1,,,Daniel Ricciardo,3
AlphaTauri,7,0,,,Daniil Kvyat,4
Williams,8,0,,,Nicholas Latifi,11
Haas,9,0,,,Romain Grosjean,14
Red Bull,10,0,,,Alexander Albon,15
