Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Red Bull,1,9,Sergio Pérez,4,Max Verstappen,2
Alpine,2,6,Esteban Ocon,5,Fernando Alonso,3
Ferrari,3,4,Charles Leclerc,8,Carlos Sainz Jr.,7
Aston Martin,4,3,Sebastian Vettel,10,Lance Stroll,6
McLaren,5,2,Daniel Ricciardo,12,Lando Norris,9
AlphaTauri,6,1,Yuki Tsunoda,13,Pierre Gasly,11
Alfa Romeo,7,0,Antonio Giovinazzi,15,Kimi Räikkönen,14
Haas,8,0,Nikita Mazepin,18,Mick Schumacher,16
Mercedes,9,0,,,Lewis Hamilton,1
Williams,10,0,,,George Russell,17
