date,year,round,grandPrixId,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
1987-04-12,1987,1,brazil,DSQ,3,23,1500.0,1490.508013,-9.491987,0.045455,0.440954,24.0
1987-05-03,1987,2,san-marino,DNF,30,27,1490.508013,1487.369974,-3.138039,0.307692,0.438444,24.0
1987-05-17,1987,3,belgium,DNF,0,26,1487.369974,1477.978464,-9.39151,0.04,0.431313,24.0
1987-05-31,1987,4,monaco,DNS,,26,1477.978464,1467.94265,-10.035814,0.0,0.418159,24.0
1987-06-21,1987,5,detroit,DNF,1,26,1467.94265,1459.20221,-8.74044,0.04,0.404185,24.0
1987-07-05,1987,6,france,DNF,52,26,1459.20221,1459.861666,0.659457,0.42,0.392523,24.0
1987-07-12,1987,7,great-britain,DNF,34,26,1459.861666,1460.972011,1.110345,0.44,0.393736,24.0
1987-07-26,1987,8,germany,DNF,28,26,1460.972011,1466.846593,5.874581,0.64,0.395226,24.0
1987-08-09,1987,9,hungary,DNF,14,26,1466.846593,1461.005933,-5.84066,0.16,0.403361,24.0
1987-08-16,1987,10,austria,DNF,3,26,1461.005933,1454.394916,-6.611017,0.12,0.395459,24.0
1987-09-06,1987,11,italy,DNF,34,28,1454.394916,1453.026664,-1.368252,0.333333,0.390344,24.0
1987-09-20,1987,12,portugal,DNF,24,27,1453.026664,1447.905422,-5.121242,0.173077,0.386462,24.0
1987-09-27,1987,13,spain,14,68,28,1447.905422,1451.185597,3.280175,0.518519,0.381845,24.0
1987-10-18,1987,14,mexico,DNF,32,27,1451.185597,1453.992544,2.806947,0.5,0.383044,24.0
1987-11-01,1987,15,japan,DNF,2,27,1453.992544,1446.584249,-7.408294,0.076923,0.385602,24.0
1987-11-15,1987,16,australia,DNF,46,27,1446.584249,1448.002694,1.418444,0.442308,0.383206,24.0
1988-04-03,1988,1,brazil,DNF,5,31,1448.002694,1445.185971,-2.816722,0.266667,0.38403,24.0
1988-05-01,1988,2,san-marino,16,57,31,1445.185971,1448.057247,2.871276,0.5,0.380363,24.0
1988-05-15,1988,3,monaco,DNQ,,31,1448.057247,1440.031395,-8.025853,0.05,0.384411,24.0
1988-05-29,1988,4,mexico,DNQ,,31,1440.031395,1432.267357,-7.764037,0.05,0.373502,24.0
1988-06-12,1988,5,canada,DNQ,,31,1432.267357,1424.747184,-7.520174,0.05,0.363341,24.0
