date,year,round,grandPrixId,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
1970-04-19,1970,2,spain,DNQ,,22,1500.0,1492.646989,-7.353011,0.142857,0.449233,24.0
1970-06-07,1970,4,belgium,DNQ,,18,1492.646989,1482.053491,-10.593499,0.0,0.441396,24.0
1970-07-05,1970,6,france,DNQ,,23,1482.053491,1472.7998,-9.253691,0.045455,0.431025,24.0
1971-03-06,1971,1,south-africa,DNF,5,25,1472.7998,1463.13937,-9.660429,0.020833,0.423351,24.0
1971-04-18,1971,2,spain,DNF,46,22,1463.13937,1460.532733,-2.606638,0.285714,0.394324,24.0
1971-05-23,1971,3,monaco,DNQ,,23,1460.532733,1453.340832,-7.191901,0.090909,0.390572,24.0
1971-06-20,1971,4,netherlands,DNF,57,25,1453.340832,1453.060194,-0.280638,0.375,0.386693,24.0
1971-07-04,1971,5,france,DNF,4,24,1453.060194,1445.456396,-7.603797,0.065217,0.382042,24.0
1972-01-23,1972,1,argentina,DNF,1,22,1445.456396,1439.153549,-6.302847,0.119048,0.381666,24.0
1972-05-01,1972,3,spain,DNF,6,26,1439.153549,1431.140588,-8.012961,0.04,0.373873,24.0
