date,year,round,grandPrixId,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
2001-09-16,2001,15,italy,DNF,44,22,1500.0,1497.894134,-2.105866,0.333333,0.421078,24.0
2001-09-30,2001,16,united-states,DNF,38,22,1497.894134,1491.864766,-6.029368,0.166667,0.41789,24.0
2001-10-14,2001,17,japan,16,50,22,1491.864766,1488.891785,-2.972981,0.285714,0.409588,24.0
2002-03-03,2002,1,australia,7,55,22,1488.891785,1496.102353,7.210567,0.714286,0.413845,24.0
2002-03-17,2002,2,malaysia,DNF,29,22,1496.102353,1491.642679,-4.459673,0.238095,0.423915,24.0
2002-03-31,2002,3,brazil,13,67,22,1491.642679,1491.911277,0.268598,0.428571,0.41738,24.0
2002-04-14,2002,4,san-marino,DNQ,,22,1491.911277,1481.881057,-10.03022,0.0,0.417926,24.0
2002-04-28,2002,5,spain,DNS,,22,1481.881057,1473.322794,-8.558263,0.047619,0.404213,24.0
2002-05-12,2002,6,austria,DNF,42,22,1473.322794,1473.047007,-0.275787,0.380952,0.392443,24.0
2002-05-26,2002,7,monaco,DNF,29,22,1473.047007,1465.913001,-7.134006,0.095238,0.392488,24.0
2002-06-09,2002,8,canada,14,68,22,1465.913001,1465.863757,-0.049245,0.380952,0.383004,24.0
2002-06-23,2002,9,europe,DNF,48,22,1465.863757,1461.238313,-4.625443,0.190476,0.383203,24.0
2002-07-07,2002,10,great-britain,DNQ,,22,1461.238313,1452.196519,-9.041795,0.0,0.376741,24.0
2002-07-21,2002,11,france,10,68,22,1452.196519,1457.155515,4.958997,0.571429,0.364804,24.0
2002-07-28,2002,12,germany,DNQ,,22,1457.155515,1448.238242,-8.917273,0.0,0.371553,24.0
2002-09-15,2002,15,italy,13,47,20,1448.238242,1448.679096,0.440853,0.368421,0.350052,24.0
2002-09-29,2002,16,united-states,DNF,46,20,1448.679096,1442.799269,-5.879827,0.105263,0.350256,24.0
2002-10-13,2002,17,japan,DNF,14,20,1442.799269,1439.616121,-3.183148,0.210526,0.343157,24.0
