date,year,round,grandPrixId,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
1997-06-15,1997,7,canada,DNF,35,22,1500.0,1498.820181,-1.179819,0.380952,0.430112,24.0
1997-06-29,1997,8,france,DNF,60,22,1498.820181,1497.465011,-1.355169,0.380952,0.437418,24.0
1997-07-13,1997,9,great-britain,3,59,22,1497.465011,1508.72332,11.258309,0.904762,0.435666,24.0
1998-03-08,1998,1,australia,7,57,22,1508.72332,1515.348489,6.625169,0.714286,0.438237,24.0
1998-03-29,1998,2,brazil,4,72,22,1515.348489,1525.175125,9.826636,0.857143,0.4477,24.0
1998-04-12,1998,3,argentina,4,72,22,1525.175125,1534.660109,9.484984,0.857143,0.461935,24.0
1998-04-26,1998,4,san-marino,DNF,17,22,1534.660109,1527.816043,-6.844066,0.190476,0.475646,24.0
1998-05-10,1998,5,spain,4,65,22,1527.816043,1537.205072,9.389029,0.857143,0.465933,24.0
1998-05-24,1998,6,monaco,DNF,42,22,1537.205072,1532.55386,-4.651212,0.285714,0.479515,24.0
1998-06-07,1998,7,canada,4,69,22,1532.55386,1541.779773,9.225913,0.857143,0.47273,24.0
1998-06-28,1998,8,france,5,70,22,1541.779773,1549.560824,7.781051,0.809524,0.485313,24.0
1998-07-12,1998,9,great-britain,4,59,22,1549.560824,1558.212727,8.651903,0.857143,0.496647,24.0
1998-07-26,1998,10,austria,9,70,22,1558.212727,1560.847928,2.635201,0.619048,0.509248,24.0
1998-08-02,1998,11,germany,11,45,22,1560.847928,1561.105016,0.257088,0.52381,0.513098,24.0
1998-08-16,1998,12,hungary,16,69,22,1561.105016,1555.640089,-5.464927,0.285714,0.51342,24.0
1998-08-30,1998,13,belgium,DNF,0,22,1555.640089,1549.218382,-6.421707,0.238095,0.505666,24.0
1998-09-13,1998,14,italy,DNF,24,22,1549.218382,1543.019939,-6.198443,0.238095,0.496364,24.0
1998-09-27,1998,15,luxembourg,7,67,22,1543.019939,1548.46082,5.440881,0.714286,0.487582,24.0
1998-11-01,1998,16,japan,9,50,22,1548.46082,1551.427356,2.966536,0.619048,0.495442,24.0
1999-03-07,1999,1,australia,DNF,28,22,1551.427356,1552.229604,0.802249,0.52381,0.490382,24.0
1999-04-11,1999,2,brazil,7,70,22,1552.229604,1557.628087,5.398482,0.714286,0.489349,24.0
1999-05-02,1999,3,san-marino,DNF,5,22,1557.628087,1548.461199,-9.166888,0.119048,0.501001,24.0
1999-05-16,1999,4,monaco,6,77,22,1548.461199,1555.037545,6.576346,0.761905,0.48789,24.0
1999-05-30,1999,5,spain,10,64,22,1555.037545,1556.812218,1.774672,0.571429,0.497484,24.0
1999-06-13,1999,6,canada,DNF,0,22,1556.812218,1545.976829,-10.835388,0.047619,0.499094,24.0
1999-06-27,1999,7,france,DNF,25,22,1545.976829,1541.231418,-4.745411,0.285714,0.48344,24.0
1999-07-11,1999,8,great-britain,10,60,22,1541.231418,1543.505627,2.274209,0.571429,0.47667,24.0
1999-07-25,1999,9,austria,5,71,22,1543.505627,1551.035575,7.529948,0.809524,0.495776,24.0
1999-08-01,1999,10,germany,7,45,22,1551.035575,1556.013774,4.9782,0.714286,0.506861,24.0
1999-08-15,1999,11,hungary,7,77,22,1556.013774,1560.818108,4.804334,0.714286,0.514105,24.0
1999-08-29,1999,12,belgium,14,44,22,1560.818108,1557.454327,-3.363781,0.380952,0.52111,24.0
1999-09-12,1999,13,italy,DNF,11,22,1557.454327,1548.49205,-8.962277,0.142857,0.516285,24.0
1999-09-26,1999,14,europe,DNF,0,22,1548.49205,1537.555313,-10.936737,0.047619,0.503316,24.0
1999-10-17,1999,15,malaysia,8,56,22,1537.555313,1542.185846,4.630533,0.666667,0.473728,24.0
1999-10-31,1999,16,japan,10,52,22,1542.185846,1544.367478,2.181632,0.571429,0.480527,24.0
2000-03-12,2000,1,australia,7,58,22,1544.367478,1549.889097,5.52162,0.714286,0.484218,24.0
2000-03-26,2000,2,brazil,DNF,6,22,1549.889097,1541.511101,-8.377996,0.142857,0.49194,24.0
2000-04-09,2000,3,san-marino,9,61,22,1541.511101,1544.849734,3.338633,0.619048,0.479938,24.0
2000-04-23,2000,4,great-britain,9,59,22,1544.849734,1548.070517,3.220782,0.619048,0.484848,24.0
2000-05-07,2000,5,spain,10,64,22,1548.070517,1550.03654,1.966023,0.571429,0.489511,24.0
2000-05-21,2000,6,europe,12,61,22,1550.03654,1549.648315,-0.388224,0.47619,0.492366,24.0
2000-06-04,2000,7,monaco,DNF,18,22,1549.648315,1540.127477,-9.520838,0.095238,0.49194,24.0
2000-06-18,2000,8,canada,9,69,22,1540.127477,1543.505888,3.378411,0.619048,0.47828,24.0
2000-07-02,2000,9,france,DNF,34,22,1543.505888,1536.47898,-7.026909,0.190476,0.483264,24.0
2000-07-16,2000,10,austria,10,70,22,1536.47898,1538.587534,2.108554,0.571429,0.483572,24.0
2000-07-30,2000,11,germany,DNF,31,22,1538.587534,1532.877078,-5.710456,0.238095,0.476031,24.0
2000-08-13,2000,12,hungary,11,76,22,1532.877078,1534.222886,1.345808,0.52381,0.467734,24.0
2000-08-27,2000,13,belgium,13,43,22,1534.222886,1533.230378,-0.992508,0.428571,0.469926,24.0
2000-09-10,2000,14,italy,5,53,22,1533.230378,1541.408997,8.178619,0.809524,0.468748,24.0
2000-09-24,2000,15,united-states,10,72,22,1541.408997,1543.593551,2.184554,0.571429,0.480406,24.0
2000-10-08,2000,16,japan,DNF,37,22,1543.593551,1535.419004,-8.174547,0.142857,0.483463,24.0
2000-10-22,2000,17,malaysia,7,56,22,1535.419004,1541.2331,5.814096,0.714286,0.472032,24.0
2005-04-24,2005,4,san-marino,3,62,20,1541.2331,1551.715239,10.482139,0.894737,0.457981,24.0
2007-03-18,2007,1,australia,DNF,48,22,1551.715239,1543.993224,-7.722015,0.166667,0.488417,24.0
2007-04-08,2007,2,malaysia,9,56,22,1543.993224,1547.38886,3.395636,0.619048,0.477563,24.0
2007-04-15,2007,3,bahrain,11,56,22,1547.38886,1548.381169,0.992309,0.52381,0.482463,24.0
2007-05-13,2007,4,spain,DNF,1,22,1548.381169,1536.768837,-11.612332,0.0,0.483847,24.0
2007-05-27,2007,5,monaco,7,77,22,1536.768837,1542.69386,5.925023,0.714286,0.46741,24.0
2007-06-10,2007,6,canada,3,70,22,1542.69386,1552.986377,10.292517,0.904762,0.475907,24.0
2007-06-17,2007,7,united-states,10,72,22,1552.986377,1554.898679,1.912303,0.571429,0.491749,24.0
2007-07-01,2007,8,france,14,69,22,1554.898679,1552.199701,-2.698978,0.380952,0.49341,24.0
2007-07-08,2007,9,great-britain,13,58,22,1552.199701,1550.73573,-1.463971,0.428571,0.48957,24.0
2007-07-22,2007,10,europe,4,60,22,1550.73573,1559.726885,8.991156,0.857143,0.482511,24.0
2007-08-05,2007,11,hungary,14,69,22,1559.726885,1557.008332,-2.718553,0.380952,0.494225,24.0
2007-08-26,2007,12,turkey,11,58,22,1557.008332,1557.813054,0.804722,0.52381,0.490279,24.0
2007-09-09,2007,13,italy,13,52,22,1557.813054,1556.302741,-1.510313,0.428571,0.491501,24.0
2007-09-16,2007,14,belgium,DNF,34,22,1556.302741,1547.986499,-8.316242,0.142857,0.489367,24.0
2007-09-30,2007,15,japan,DNF,19,22,1547.986499,1536.51934,-11.467159,0.0,0.477798,24.0
2007-10-07,2007,16,china,12,55,22,1536.51934,1536.87512,0.35578,0.47619,0.461366,24.0
