date,year,round,grandPrixId,positionRaw,laps,nParticipants,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed
1972-01-23,1972,1,argentina,7,93,22,1500.0,1506.096354,6.096354,0.714286,0.460271,24.0
1972-03-04,1972,2,south-africa,DNF,27,27,1506.096354,1497.547422,-8.548932,0.115385,0.47159,24.0
1972-06-04,1972,5,belgium,13,81,26,1497.547422,1498.910831,1.363409,0.52,0.463191,24.0
1972-07-02,1972,6,france,12,37,29,1498.910831,1502.270628,3.359797,0.607143,0.467151,24.0
1972-07-15,1972,7,great-britain,8,73,27,1502.270628,1508.553058,6.28243,0.730769,0.469001,24.0
1972-07-30,1972,8,germany,DNF,6,27,1508.553058,1501.846493,-6.706565,0.192308,0.471748,24.0
1972-08-13,1972,9,austria,DNF,14,26,1501.846493,1493.709539,-8.136954,0.12,0.45904,24.0
1972-09-10,1972,10,italy,DNF,14,27,1493.709539,1487.084889,-6.62465,0.173077,0.449104,24.0
1972-09-24,1972,11,canada,4,80,25,1487.084889,1497.623395,10.538506,0.875,0.435896,24.0
1972-10-08,1972,12,united-states,DNF,31,32,1497.623395,1490.428416,-7.194979,0.16129,0.461081,24.0
1973-01-28,1973,1,argentina,DNF,16,19,1490.428416,1484.194854,-6.233562,0.166667,0.426398,24.0
1973-02-11,1973,2,brazil,11,38,20,1484.194854,1485.464676,1.269822,0.473684,0.420775,24.0
1973-03-03,1973,3,south-africa,7,77,25,1485.464676,1492.892119,7.427443,0.75,0.440523,24.0
1973-04-29,1973,4,spain,DNF,66,22,1492.892119,1492.572575,-0.319544,0.428571,0.441886,24.0
1973-05-20,1973,5,belgium,DNF,14,23,1492.572575,1487.510145,-5.06243,0.227273,0.438207,24.0
1973-06-03,1973,6,monaco,DNF,46,26,1487.510145,1487.619285,0.109139,0.44,0.435453,24.0
1973-06-17,1973,7,sweden,4,80,22,1487.619285,1497.905975,10.286691,0.857143,0.428531,24.0
1973-07-01,1973,8,france,3,54,25,1497.905975,1509.083095,11.17712,0.916667,0.450953,24.0
1973-07-14,1973,9,great-britain,6,67,29,1509.083095,1517.581552,8.498458,0.821429,0.467326,24.0
1973-07-29,1973,10,netherlands,DNF,9,24,1517.581552,1512.498815,-5.082738,0.26087,0.47265,24.0
1973-08-05,1973,11,germany,DNF,7,23,1512.498815,1507.369874,-5.128941,0.25,0.463706,24.0
1973-08-19,1973,12,austria,4,54,25,1507.369874,1517.376538,10.006664,0.875,0.458056,24.0
1973-09-09,1973,13,italy,6,55,25,1517.376538,1525.083008,7.70647,0.791667,0.470564,24.0
1973-09-23,1973,14,canada,8,78,26,1525.083008,1530.567111,5.484104,0.72,0.491496,24.0
1973-10-07,1973,15,united-states,3,59,28,1530.567111,1540.968573,10.401461,0.925926,0.492532,24.0
1974-01-13,1974,1,argentina,7,52,26,1540.968573,1546.775644,5.807071,0.76,0.518039,24.0
1974-01-27,1974,2,brazil,7,31,25,1546.775644,1552.230265,5.454621,0.75,0.522724,24.0
1974-03-30,1974,3,south-africa,1,78,27,1552.230265,1563.242933,11.012668,1.0,0.541139,24.0
1974-04-28,1974,4,spain,DNF,12,28,1563.242933,1553.450103,-9.79283,0.148148,0.556183,24.0
1974-05-12,1974,5,belgium,DNF,62,32,1553.450103,1548.824827,-4.625276,0.354839,0.547559,24.0
1974-05-26,1974,6,monaco,DNF,5,28,1548.824827,1547.12855,-1.696277,0.462963,0.533641,24.0
1974-06-09,1974,7,sweden,DNF,30,28,1547.12855,1544.988677,-2.139873,0.444444,0.533606,24.0
1974-06-23,1974,8,netherlands,12,71,27,1544.988677,1546.202996,1.214319,0.576923,0.526326,24.0
1974-07-07,1974,9,france,DNF,24,30,1546.202996,1543.360096,-2.8429,0.413793,0.532247,24.0
1974-07-20,1974,10,great-britain,6,74,35,1543.360096,1550.970174,7.610077,0.852941,0.535855,24.0
1974-08-04,1974,11,germany,3,14,32,1550.970174,1560.54922,9.579046,0.935484,0.536357,24.0
1974-08-18,1974,12,austria,1,54,31,1560.54922,1571.419998,10.870778,1.0,0.547051,24.0
1974-09-08,1974,13,italy,DNF,11,31,1571.419998,1566.732716,-4.687282,0.366667,0.56197,24.0
1974-09-22,1974,14,canada,9,79,30,1566.732716,1570.869932,4.137217,0.724138,0.551754,24.0
1974-10-06,1974,15,united-states,1,59,30,1570.869932,1581.551773,10.681841,1.0,0.554923,24.0
1975-01-12,1975,1,argentina,3,53,23,1581.551773,1589.873219,8.321446,0.909091,0.562364,24.0
1975-01-26,1975,2,brazil,8,40,23,1589.873219,1592.45384,2.58062,0.681818,0.574292,24.0
1975-03-01,1975,3,south-africa,2,78,28,1592.45384,1601.41719,8.96335,0.962963,0.58949,24.0
1975-04-27,1975,4,spain,3,28,26,1601.41719,1609.101563,7.684373,0.92,0.599818,24.0
1975-05-11,1975,5,monaco,9,73,26,1609.101563,1610.833002,1.731439,0.68,0.607857,24.0
1975-05-25,1975,6,belgium,3,70,24,1610.833002,1618.133453,7.300451,0.913043,0.608858,24.0
1975-06-08,1975,7,sweden,2,80,26,1618.133453,1626.245271,8.111818,0.96,0.622008,24.0
1975-06-22,1975,8,netherlands,4,74,25,1626.245271,1632.121628,5.876357,0.875,0.630152,24.0
1975-07-06,1975,9,france,14,53,26,1632.121628,1628.263398,-3.85823,0.48,0.64076,24.0
1975-07-19,1975,10,great-britain,DNF,4,28,1628.263398,1614.635068,-13.628329,0.074074,0.641921,24.0
1975-08-03,1975,11,germany,1,14,26,1614.635068,1623.793139,9.158071,1.0,0.618414,24.0
1975-08-17,1975,12,austria,14,28,30,1623.793139,1621.77717,-2.015969,0.551724,0.635723,24.0
1975-09-07,1975,13,italy,4,52,28,1621.77717,1627.978547,6.201377,0.888889,0.630498,24.0
1975-10-05,1975,14,united-states,DNF,9,24,1627.978547,1619.592865,-8.385682,0.282609,0.632012,24.0
1976-01-25,1976,1,brazil,12,37,22,1619.592865,1616.413568,-3.179297,0.47619,0.608661,24.0
1976-03-06,1976,2,south-africa,DNF,16,25,1616.413568,1603.81401,-12.599558,0.083333,0.608315,24.0
1976-03-28,1976,3,united-states-west,DNF,0,27,1603.81401,1596.922027,-6.891982,0.307692,0.594858,24.0
1976-05-02,1976,4,spain,4,74,30,1596.922027,1604.292947,7.370919,0.896552,0.58943,24.0
1976-05-16,1976,5,belgium,DNF,17,29,1604.292947,1595.103532,-9.189415,0.214286,0.597178,24.0
